HEA,Pt,Ru,Rh,Ir,Re,Os,Pd,Au,current_over_capacitance
101,0.114,0.136,0.106,0.151,0.015,0.16,0.162,0.156,-0.22569
102,0.19,0.06,0.267,0.06,0.013,0.055,0.286,0.069,-0.7655
103,0.05,0.231,0.067,0.212,0.005,0.142,0.071,0.223,-0.13649
104,0.09,0.118,0.25,0.041,0.011,0.186,0.083,0.221,-0.78209
105,0.23,0.242,0.023,0.205,0.032,0.065,0.179,0.024,-0.49653
107,0.025,0.199,0.256,0.26,0.016,0.036,0.114,0.096,-0.10481
108,0.052,0.099,0.102,0.262,0.016,0.058,0.027,0.384,-0.16756
109,0.13,0.211,0.189,0.036,0.004,0.189,0.128,0.111,-0.40636
110,0.202,0.008,0.135,0.206,0.02,0.054,0.189,0.185,-0.85699
111,0.115,0.232,0.014,0.173,0.028,0.226,0.162,0.051,-0.4671
112,0.074,0.067,0.373,0.182,0.02,0.129,0.078,0.077,-0.44454
113,0.172,0.192,0.104,0.012,0.009,0.083,0.211,0.218,-0.7748
114,0.156,0.114,0.038,0.257,0.035,0.056,0.333,0.012,-0.41083
115,0.016,0.275,0.198,0.118,0.019,0.051,0.126,0.198,-0.20846
116,0.014,0.111,0.199,0.151,0.02,0.101,0.136,0.268,-0.41499
117,0.141,0.258,0.069,0.259,0.04,0.13,0.017,0.086,-0.20747
118,0.347,0.06,0.021,0.069,0.024,0.034,0.132,0.313,-1.24985
119,0.082,0.21,0.186,0.177,0.003,0.059,0.264,0.02,-0.23956
120,0.129,0.022,0.179,0.099,0.021,0.109,0.267,0.174,-0.27558
121,0.191,0.085,0.169,0.2,0.009,0.052,0.025,0.268,-0.37939
122,0.221,0.112,0.243,0.02,0.007,0.141,0.164,0.092,-0.5039
123,0.047,0.203,0.046,0.128,0.015,0.088,0.289,0.185,-0.39303
124,0.045,0.06,0.212,0.286,0.021,0.082,0.247,0.048,-0.21869
125,0.209,0.243,0.003,0.13,0.011,0.139,0.063,0.203,-0.46479
126,0.248,0.144,0.101,0.19,0.008,0.054,0.133,0.124,-0.39188
127,0.078,0.164,0.167,0.026,0.009,0.125,0.21,0.22,-0.50401
128,0.083,0.081,0.035,0.302,0.016,0.067,0.243,0.174,-0.29486
129,0.282,0.197,0.166,0.19,0.056,0.034,0.062,0.015,-0.54325
130,0.096,0.003,0.236,0.195,0.021,0.08,0.157,0.212,-0.29369
131,0.007,0.179,0.153,0.075,0.017,0.051,0.419,0.099,-0.22803
132,0.005,0.084,0.225,0.191,0.012,0.108,0.115,0.259,-0.13096
133,0.174,0.306,0.022,0.035,0.025,0.046,0.328,0.064,-0.84605
134,0.177,0.001,0.09,0.231,0.021,0.076,0.163,0.241,-0.43882
135,0.08,0.179,0.355,0.115,0.018,0.075,0.002,0.175,-0.26462
136,0.173,0.06,0.073,0.352,0.057,0.075,0.19,0.02,-0.27331
137,0.186,0.127,0.177,0.051,0.025,0.071,0.237,0.124,-0.70254
138,0.147,0.066,0.24,0.226,0.021,0.018,0.193,0.09,-0.23042
139,0.04,0.218,0.131,0.153,0.01,0.112,0.037,0.3,-0.146
140,0.095,0.021,0.303,0.067,0.024,0.121,0.153,0.218,-0.26421
141,0.148,0.116,0.049,0.159,0.024,0.032,0.234,0.239,-0.34421
142,0.316,0.096,0.013,0.119,0.053,0.179,0.189,0.035,-0.56963
143,0.127,0.205,0.108,0.217,0.028,0.092,0.023,0.201,-0.26095
144,0.032,0.062,0.053,0.005,0.025,0.095,0.55,0.177,-0.1201
145,0.124,0.13,0.133,0.075,0.007,0.107,0.344,0.08,-0.45148
146,0.174,0.04,0.163,0.073,0.001,0.043,0.18,0.327,-0.59398
147,0.032,0.29,0.044,0.241,0.029,0.218,0.058,0.087,-0.08737
148,0.019,0.076,0.073,0.271,0.05,0.157,0.212,0.142,-0.15232
149,0.129,0.149,0.135,0.126,0.036,0.12,0.035,0.27,-0.21576
150,0.23,0.163,0.145,0.221,0.038,0.132,0.009,0.064,-0.21452
151,0.104,0.279,0.002,0.076,0.042,0.059,0.137,0.303,-0.73862
152,0.095,0.059,0.18,0.179,0.006,0.016,0.247,0.219,-0.21957
153,0.287,0.194,0.103,0.102,0.022,0.086,0.098,0.107,-0.40971
154,0.254,0.027,0.046,0.217,0.049,0.065,0.068,0.273,-0.3808
155,0.043,0.224,0.229,0.034,0.011,0.14,0.293,0.025,-0.17713
156,0.027,0.129,0.01,0.056,0.026,0.245,0.348,0.16,-0.16782
157,0.144,0.239,0.152,0.201,0.055,0.092,0.115,0,-0.22748
158,0.235,0.045,0.314,0.014,0.035,0.107,0.046,0.203,-0.42421
159,0.133,0.18,0.087,0.183,0.024,0.02,0.269,0.105,-0.10542
160,0.09,0.003,0.205,0.165,0.029,0.044,0.41,0.054,-0.23705
161,0.148,0.147,0.042,0.199,0.004,0.096,0.193,0.171,-0.37669
162,0.191,0.127,0.177,0.092,0.015,0.095,0.118,0.185,-0.33182
163,0.004,0.176,0.216,0.122,0.017,0.13,0.144,0.192,-0.13137
164,0.009,0.12,0.127,0.179,0.011,0.142,0.223,0.189,-0.08873
165,0.115,0.218,0.252,0.063,0.024,0.037,0.253,0.039,-0.16297
166,0.129,0.027,0.16,0.102,0.015,0.085,0.286,0.196,-0.35188
167,0.123,0.32,0.078,0.025,0.02,0.053,0.111,0.269,-0.2505
168,0.13,0.013,0.314,0.287,0.059,0.046,0.124,0.029,-0.16205
169,0.21,0.12,0.059,0.091,0.024,0.1,0.228,0.168,-0.44575
170,0.222,0.072,0.011,0.244,0.019,0.093,0.19,0.15,-0.42955
171,0.03,0.278,0.172,0.044,0.02,0.16,0.015,0.282,-0.08491
172,0.057,0.078,0.033,0.174,0.035,0.147,0.377,0.099,-0.21944
173,0.111,0.128,0.124,0.16,0.003,0.061,0.271,0.141,-0.2447
174,0.229,0.126,0.263,0.057,0.011,0.082,0.229,0.002,-0.37476
175,0.119,0.267,0.111,0.197,0.025,0.055,0.046,0.18,-0.09721
176,0.117,0.076,0.11,0.138,0.029,0.034,0.075,0.42,-0.19085
177,0.145,0.196,0,0.16,0.042,0.105,0.259,0.093,-0.34258
178,0.187,0.024,0.077,0.039,0.028,0.079,0.31,0.256,-1.14198
179,0.026,0.217,0.258,0.233,0.017,0.175,0.023,0.053,-0.10519
180,0.029,0.03,0.189,0.178,0.056,0.089,0.276,0.154,-0.16958
181,0.175,0.168,0.037,0.045,0.037,0.038,0.149,0.352,-0.42796
182,0.22,0.125,0.115,0.239,0.059,0.148,0.048,0.047,-0.2398
183,0.068,0.203,0.188,0.09,0.023,0.073,0.154,0.2,-0.23386
184,0.128,0.119,0.005,0.139,0.035,0.105,0.228,0.242,-0.50092
185,0.244,0.253,0.14,0.014,0.016,0.173,0.072,0.088,-0.24639
186,0.202,0.068,0.234,0.209,0.027,0.044,0.006,0.211,-0.20588
187,0.139,0.263,0.066,0.08,0.021,0.156,0.261,0.013,-0.29546
188,0.054,0.072,0.176,0.021,0.006,0.11,0.346,0.217,-0.19872
189,0.275,0.185,0.11,0.145,0.037,0.047,0.16,0.041,-0.35515
190,0.328,0.005,0.051,0.09,0.011,0.069,0.107,0.34,-0.57902
191,0.101,0.148,0.114,0.174,0.035,0.133,0.204,0.092,-0.32963
192,0.151,0.058,0.095,0.088,0.015,0.058,0.406,0.129,-0.54797
193,0.192,0.1,0.121,0.137,0.015,0.102,0.124,0.208,-0.35857
194,0.224,0.14,0.156,0.161,0.042,0.037,0.025,0.215,-0.14107
195,0.009,0.229,0,0.169,0.009,0.086,0.212,0.286,-0.05833
196,0.019,0.054,0.449,0.208,0.046,0.083,0.074,0.067,-0.09446
197,0.132,0.148,0.07,0.173,0.003,0.122,0.185,0.168,-0.27707
198,0.301,0.103,0.033,0.036,0.028,0.047,0.268,0.185,-0.62386
199,0.066,0.221,0.116,0.116,0.028,0.092,0.124,0.237,-0.17657
200,0.168,0.087,0.081,0.166,0.027,0.1,0.006,0.365,-0.2282
201,0.238,0.17,0.133,0.2,0.043,0.034,0.1,0.082,-0.17113
202,0.208,0.001,0.089,0.069,0.012,0.051,0.201,0.367,-0.62593
203,0.075,0.198,0.01,0.301,0.02,0.061,0.087,0.249,-0.14736
204,0.065,0.121,0.155,0.212,0.005,0.066,0.047,0.328,-0.13289
205,0.159,0.254,0.029,0.096,0.022,0.102,0.225,0.113,-0.69654
206,0.265,0.03,0.064,0.151,0.054,0.027,0.201,0.209,-0.30492
207,0.165,0.171,0.206,0.043,0.033,0.082,0.216,0.084,-0.15021
208,0.18,0.036,0.048,0.33,0.153,0.083,0.021,0.148,-0.2113
209,0.28,0.111,0.071,0.086,0.041,0.031,0.077,0.302,-0.40757
210,0.199,0.091,0.188,0.136,0.021,0.076,0.276,0.012,-0.30868
211,0.038,0.322,0.096,0.015,0.017,0.06,0.179,0.273,-0.08279
212,0.017,0.1,0.069,0.067,0.021,0.036,0.309,0.381,-0.11717
213,0.155,0.236,0.144,0.158,0.026,0.125,0.055,0.101,-0.2399
214,0.284,0.011,0.21,0.11,0.004,0.049,0.123,0.208,-0.57713
215,0.09,0.162,0.076,0.241,0.038,0.112,0.28,0.001,-0.22007
216,0.209,0.075,0.161,0.022,0.024,0.109,0.21,0.191,-0.44378
217,0.259,0.231,0.008,0.148,0.019,0.056,0.013,0.265,-0.35591
218,0.251,0.173,0.083,0.114,0.061,0.123,0.156,0.039,-0.3529
219,0.047,0.202,0.127,0.176,0.027,0.02,0.194,0.207,-0.07802
220,0.059,0.025,0.147,0.203,0.034,0.028,0.407,0.098,-0.25464
221,0.182,0.166,0.182,0.002,0.019,0.131,0.086,0.231,-0.36782
222,0.235,0.088,0.128,0.184,0.032,0.06,0.138,0.135,-0.19799
223,0.126,0.121,0.014,0.055,0.006,0.048,0.208,0.421,-0.58081
224,0.064,0.126,0.124,0.115,0.049,0.057,0.264,0.2,-0.14811
225,0.343,0.406,0.041,0.053,0.024,0.054,0.033,0.046,-0.31982
226,0.144,0.023,0.002,0.203,0.039,0.183,0.077,0.328,-0.24558
227,0.002,0.268,0.078,0.105,0.033,0.036,0.307,0.17,-0.04306
228,0.006,0.138,0.164,0.231,0.025,0.048,0.177,0.211,-0.06085
229,0.108,0.205,0.028,0.065,0.018,0.062,0.221,0.294,-0.37643
230,0.292,0.025,0.003,0.206,0.053,0.036,0.259,0.124,-0.41099
231,0.1,0.219,0.097,0.051,0.028,0.099,0.081,0.326,-0.16134
232,0.131,0.065,0.075,0.178,0.019,0.069,0.104,0.358,-0.2155
233,0.203,0.197,0.119,0.058,0.009,0.061,0.233,0.118,-0.33998
234,0.19,0.12,0.086,0.127,0.037,0.061,0.152,0.229,-0.29186
