  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,0.00000,0.34500,0.38500,0.27000,0.00000,0.09716,0.00618,0.94022
  3,0.00000,0.36000,0.24500,0.39500,0.00000,0.09399,0.00339,0.69853
  4,0.00000,0.40000,0.17000,0.43000,0.00000,0.09684,0.00305,0.81361
  5,0.00000,0.50500,0.27500,0.15000,0.07000,0.10733,0.00311,0.50563
  6,0.00000,0.57500,0.30000,0.02000,0.10500,0.12786,0.00357,0.55145
  7,0.00000,0.54500,0.29500,0.04500,0.11500,0.12655,0.00314,0.52076
  8,0.00000,0.61500,0.13500,0.00000,0.25000,0.15033,0.00537,0.61272
  9,0.00000,0.56000,0.20000,0.00000,0.24000,0.14722,0.00457,0.59041
 10,0.00000,0.51000,0.19500,0.00000,0.29500,0.15296,0.00446,0.56340
 11,0.00000,0.50000,0.19000,0.00000,0.31000,0.15428,0.00462,0.56796
 12,0.00000,0.50000,0.19000,0.00000,0.31000,0.15413,0.00460,0.56916
 13,0.00000,0.56000,0.12000,0.00000,0.32000,0.15869,0.00362,0.40621
 14,0.00000,0.55500,0.13000,0.00000,0.31500,0.15605,0.00353,0.44259
 15,0.00000,0.55500,0.10500,0.01000,0.33000,0.16059,0.00369,0.39848
 16,0.00000,0.55500,0.10500,0.00000,0.34000,0.16026,0.00362,0.41104
 17,0.00500,0.55000,0.09500,0.00000,0.35000,0.16052,0.00362,0.41812
 18,0.00500,0.55000,0.09500,0.00000,0.35000,0.16047,0.00350,0.42391
 19,0.00500,0.55000,0.09500,0.00000,0.35000,0.16046,0.00316,0.41914
 20,0.01500,0.54500,0.09000,0.00000,0.35000,0.15921,0.00317,0.43178
 21,0.01500,0.54500,0.09000,0.00000,0.35000,0.15924,0.00317,0.43195
 22,0.01500,0.54500,0.09000,0.00000,0.35000,0.15925,0.00293,0.42976
 23,0.02000,0.54000,0.09000,0.00000,0.35000,0.15832,0.00294,0.43744
 24,0.01000,0.54500,0.09000,0.00000,0.35500,0.15780,0.00304,0.44996
 25,0.02500,0.54000,0.08500,0.00000,0.35000,0.15656,0.00308,0.45670
 26,0.01500,0.54500,0.09000,0.00000,0.35000,0.15630,0.00313,0.46234
 27,0.02000,0.54000,0.09000,0.00000,0.35000,0.15670,0.00307,0.45726
 28,0.02500,0.54000,0.08500,0.00000,0.35000,0.15714,0.00300,0.44955
 29,0.03000,0.54000,0.08500,0.00000,0.34500,0.15742,0.00297,0.44461
 30,0.03500,0.54000,0.08000,0.00000,0.34500,0.15761,0.00295,0.44170
 31,0.03500,0.53500,0.08000,0.00000,0.35000,0.15751,0.00295,0.44333
 32,0.03000,0.54000,0.08500,0.00000,0.34500,0.15730,0.00297,0.44708
 33,1.00000,0.00000,0.00000,0.00000,0.00000,-0.01050,0.00294,0.44133
 33,0.03500,0.54000,0.08000,0.00000,0.34500,0.15770,0.00294,0.44133
 34,0.03500,0.53500,0.08000,0.00000,0.35000,0.15765,0.00294,0.44231
 35,1.00000,0.00000,0.00000,0.00000,0.00000,-0.01027,0.00292,0.43931
 35,0.04000,0.53500,0.08000,0.00000,0.34500,0.15783,0.00292,0.43931
 36,1.00000,0.00000,0.00000,0.00000,0.00000,-0.01028,0.00292,0.43934
 36,0.04000,0.53500,0.08000,0.00000,0.34500,0.15783,0.00292,0.43934
 37,1.00000,0.00000,0.00000,0.00000,0.00000,-0.01031,0.00292,0.43964
 37,0.04000,0.53500,0.08000,0.00000,0.34500,0.15781,0.00292,0.43964
 38,1.00000,0.00000,0.00000,0.00000,0.00000,-0.01030,0.00292,0.43949
 38,0.04000,0.53500,0.08000,0.00000,0.34500,0.15783,0.00292,0.43949
 39,0.03500,0.53500,0.08000,0.00000,0.35000,0.15765,0.00294,0.44260
 40,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00970,0.00290,0.43764
 40,0.04000,0.53500,0.08000,0.00000,0.34500,0.15798,0.00290,0.43764
 41,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00975,0.00290,0.43802
 41,0.03500,0.54000,0.08000,0.00000,0.34500,0.15794,0.00290,0.43802
 42,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00884,0.00287,0.43247
 42,0.04000,0.53500,0.08000,0.00000,0.34500,0.15829,0.00287,0.43247
 43,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00858,0.00286,0.42984
 43,0.04500,0.53500,0.08000,0.00000,0.34000,0.15850,0.00286,0.42984
 44,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00852,0.00285,0.42810
 44,0.04500,0.53500,0.08000,0.00000,0.34000,0.15862,0.00285,0.42810
 45,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00848,0.00286,0.42644
 45,0.05000,0.53500,0.08000,0.00000,0.33500,0.15879,0.00286,0.42644
 46,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00850,0.00286,0.42680
 46,0.05000,0.53500,0.07500,0.00000,0.34000,0.15877,0.00286,0.42680
 47,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00847,0.00285,0.42890
 47,0.04500,0.53500,0.08000,0.00000,0.34000,0.15856,0.00285,0.42890
 48,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00843,0.00285,0.42811
 48,0.04500,0.53500,0.08000,0.00000,0.34000,0.15863,0.00285,0.42811
 49,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00836,0.00285,0.42740
 49,0.04500,0.53500,0.08000,0.00000,0.34000,0.15868,0.00285,0.42740
 50,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00858,0.00285,0.43014
 50,0.04500,0.53500,0.08000,0.00000,0.34000,0.15844,0.00285,0.43014
 51,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00884,0.00286,0.43197
 51,0.04000,0.53500,0.08000,0.00000,0.34500,0.15834,0.00286,0.43197
 52,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00927,0.00288,0.43423
 52,0.04000,0.53500,0.08000,0.00000,0.34500,0.15822,0.00288,0.43423
 53,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00859,0.00285,0.43069
 53,0.04000,0.53500,0.08000,0.00000,0.34500,0.15840,0.00285,0.43069
 54,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00875,0.00285,0.43194
 54,0.04000,0.53500,0.08000,0.00000,0.34500,0.15830,0.00285,0.43194
 55,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00850,0.00285,0.43065
 55,0.04000,0.53500,0.08000,0.00000,0.34500,0.15839,0.00285,0.43065
 56,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00809,0.00283,0.42836
 56,0.04000,0.53500,0.08000,0.00000,0.34500,0.15850,0.00283,0.42836
 57,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00827,0.00284,0.42919
 57,0.04000,0.53500,0.08000,0.00000,0.34500,0.15846,0.00284,0.42919
 58,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00843,0.00284,0.43026
 58,0.04000,0.53500,0.08000,0.00000,0.34500,0.15840,0.00284,0.43026
 59,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00882,0.00286,0.43272
 59,0.04000,0.53500,0.08000,0.00000,0.34500,0.15832,0.00286,0.43272
 60,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00870,0.00286,0.43223
 60,0.04000,0.53500,0.08000,0.00000,0.34500,0.15837,0.00286,0.43223
 61,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00898,0.00289,0.43419
 61,0.04500,0.53500,0.07000,0.00000,0.35000,0.15849,0.00289,0.43419
 62,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00952,0.00297,0.43862
 62,0.05000,0.53000,0.06000,0.00000,0.36000,0.15868,0.00297,0.43862
 63,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00850,0.00285,0.43316
 63,0.04000,0.53500,0.07500,0.00000,0.35000,0.15855,0.00285,0.43316
 64,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00847,0.00285,0.43294
 64,0.04000,0.53500,0.07500,0.00000,0.35000,0.15859,0.00285,0.43294
 65,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00854,0.00286,0.43273
 65,0.04500,0.53000,0.07500,0.00000,0.35000,0.15865,0.00286,0.43273
 66,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00865,0.00286,0.43259
 66,0.04500,0.53000,0.07000,0.00000,0.35500,0.15871,0.00286,0.43259
 67,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00860,0.00286,0.43271
 67,0.04500,0.53000,0.07500,0.00000,0.35000,0.15869,0.00286,0.43271
 68,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00873,0.00286,0.43266
 68,0.04500,0.53000,0.07000,0.00000,0.35500,0.15873,0.00286,0.43266
 69,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00876,0.00286,0.43277
 69,0.04500,0.53000,0.07000,0.00000,0.35500,0.15874,0.00286,0.43277
 70,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00877,0.00286,0.43287
 70,0.04500,0.53000,0.07000,0.00000,0.35500,0.15874,0.00286,0.43287
 71,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00899,0.00286,0.43256
 71,0.04500,0.53000,0.07000,0.00000,0.35500,0.15880,0.00286,0.43256
 72,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00867,0.00285,0.43264
 72,0.04500,0.53000,0.07500,0.00000,0.35000,0.15871,0.00285,0.43264
 73,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00873,0.00285,0.43300
 73,0.04500,0.53000,0.07500,0.00000,0.35000,0.15866,0.00285,0.43300
 74,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00800,0.00279,0.42914
 74,0.04500,0.53000,0.07000,0.00000,0.35500,0.15869,0.00279,0.42914
 75,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00831,0.00280,0.43095
 75,0.04500,0.53000,0.07000,0.00000,0.35500,0.15869,0.00280,0.43095
 76,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00835,0.00280,0.43124
 76,0.04500,0.53000,0.07500,0.00000,0.35000,0.15860,0.00280,0.43124
 77,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00889,0.00284,0.43461
 77,0.04500,0.53000,0.07500,0.00000,0.35000,0.15857,0.00284,0.43461
 78,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00891,0.00284,0.43469
 78,0.04500,0.53000,0.07500,0.00000,0.35000,0.15856,0.00284,0.43469
 79,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00921,0.00284,0.43533
 79,0.04500,0.53000,0.07500,0.00000,0.35000,0.15849,0.00284,0.43533
 80,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00909,0.00284,0.43503
 80,0.04500,0.53000,0.07500,0.00000,0.35000,0.15854,0.00284,0.43503
 81,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00942,0.00285,0.43617
 81,0.04500,0.53000,0.07500,0.00000,0.35000,0.15843,0.00285,0.43617
 82,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00925,0.00284,0.43492
 82,0.04500,0.53500,0.07500,0.00000,0.34500,0.15848,0.00284,0.43492
 83,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00935,0.00284,0.43549
 83,0.04500,0.53000,0.07500,0.00000,0.35000,0.15845,0.00284,0.43549
 84,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00931,0.00284,0.43511
 84,0.04500,0.53000,0.07500,0.00000,0.35000,0.15849,0.00284,0.43511
 85,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00921,0.00284,0.43442
 85,0.04500,0.53500,0.07500,0.00000,0.34500,0.15856,0.00284,0.43442
 86,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00927,0.00284,0.43509
 86,0.04500,0.53000,0.07500,0.00000,0.35000,0.15852,0.00284,0.43509
 87,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00930,0.00284,0.43529
 87,0.04500,0.53000,0.07500,0.00000,0.35000,0.15851,0.00284,0.43529
 88,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00931,0.00285,0.43551
 88,0.04500,0.53000,0.07500,0.00000,0.35000,0.15850,0.00285,0.43551
 89,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00930,0.00285,0.43547
 89,0.04500,0.53000,0.07500,0.00000,0.35000,0.15851,0.00285,0.43547
 90,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00949,0.00285,0.43637
 90,0.04500,0.53000,0.07500,0.00000,0.35000,0.15841,0.00285,0.43637
 91,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00972,0.00286,0.43707
 91,0.04500,0.53000,0.07500,0.00000,0.35000,0.15837,0.00286,0.43707
 92,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00943,0.00285,0.43656
 92,0.04500,0.53000,0.07500,0.00000,0.35000,0.15844,0.00285,0.43656
 93,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00950,0.00285,0.43613
 93,0.04500,0.53000,0.07500,0.00000,0.35000,0.15842,0.00285,0.43613
 94,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00952,0.00285,0.43620
 94,0.04500,0.53000,0.07500,0.00000,0.35000,0.15842,0.00285,0.43620
 95,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00954,0.00285,0.43630
 95,0.04500,0.53000,0.07500,0.00000,0.35000,0.15841,0.00285,0.43630
 96,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00936,0.00284,0.43464
 96,0.04500,0.53000,0.07500,0.00000,0.35000,0.15849,0.00284,0.43464
 97,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00936,0.00283,0.43461
 97,0.04500,0.53000,0.07500,0.00000,0.35000,0.15849,0.00283,0.43461
 98,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00933,0.00283,0.43387
 98,0.04500,0.53000,0.07500,0.00000,0.35000,0.15852,0.00283,0.43387
 99,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00928,0.00282,0.43246
 99,0.04500,0.53000,0.08000,0.00000,0.34500,0.15858,0.00282,0.43246
100,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00937,0.00282,0.43195
100,0.04500,0.53000,0.08000,0.00000,0.34500,0.15860,0.00282,0.43195
