     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.00076,0.11256,0.26474,0.17989,0.44206,0.0368452
0.28480,0.23176,0.14739,0.19531,0.14074,0.0703112
0.71421,0.27695,0.00496,0.00386,0.00003,0.0221327
0.16350,0.30686,0.14286,0.38391,0.00287,0.0633930
0.26827,0.16100,0.36467,0.20326,0.00281,0.0525099
0.18327,0.43123,0.08605,0.15284,0.14660,0.1272101
0.10303,0.64195,0.08212,0.02188,0.15102,0.1445095
0.11024,0.58054,0.24719,0.00173,0.06030,0.1088932
0.08713,0.60900,0.00286,0.07335,0.22765,0.1572233
0.00014,0.66165,0.00440,0.16214,0.17167,0.1216538
0.14586,0.56260,0.00281,0.00434,0.28440,0.1632151
0.06921,0.57486,0.00265,0.00462,0.34865,0.1623028
0.13904,0.57802,0.00175,0.00121,0.27998,0.1659372
0.14151,0.58251,0.00083,0.00168,0.27346,0.1672219
0.15227,0.58202,0.00076,0.00302,0.26193,0.1614825
0.12050,0.56953,0.00280,0.00458,0.30259,0.1662879
0.11729,0.57220,0.00467,0.00081,0.30503,0.1635098
0.11924,0.57958,0.00076,0.00460,0.29582,0.1636542
0.00328,0.00380,0.98504,0.00371,0.00417,0.0677884
0.12613,0.57616,0.00320,0.00124,0.29327,0.1622626
0.12743,0.57907,0.00084,0.00443,0.28823,0.1604192
0.11551,0.58892,0.00248,0.00037,0.29272,0.1686635
0.09888,0.60314,0.00027,0.00485,0.29285,0.1627619
0.12621,0.56665,0.00315,0.00205,0.30194,0.1614446
0.12695,0.59717,0.00268,0.00485,0.26834,0.1646804
0.10516,0.59957,0.00378,0.00342,0.28807,0.1656802
0.10286,0.60152,0.00274,0.00443,0.28845,0.1600451
0.14310,0.58766,0.00373,0.00015,0.26537,0.1611863
0.11763,0.56516,0.00245,0.00259,0.31217,0.1556741
0.13794,0.60106,0.00103,0.00196,0.25801,0.1624407
0.08291,0.57677,0.04059,0.00412,0.29561,0.1584717
0.13406,0.59955,0.00140,0.00441,0.26057,0.1624144
0.13030,0.59791,0.00114,0.00180,0.26885,0.1613957
0.10489,0.60518,0.00490,0.00488,0.28016,0.1611081
0.13919,0.58322,0.00181,0.00396,0.27182,0.1684220
0.15721,0.58177,0.00465,0.00364,0.25273,0.1592075
0.12272,0.59182,0.00248,0.00170,0.28128,0.1559828
0.13053,0.57653,0.00138,0.00122,0.29035,0.1633325
0.13424,0.56515,0.00489,0.00207,0.29365,0.1610301
0.31720,0.67483,0.00261,0.00437,0.00099,0.1100524
0.11564,0.58975,0.00290,0.00107,0.29064,0.1654737
0.11662,0.58962,0.00098,0.00217,0.29062,0.1662799
0.11155,0.59437,0.00082,0.00219,0.29106,0.1612134
0.10908,0.59605,0.00413,0.00094,0.28980,0.1652494
0.00428,0.00373,0.00358,0.00248,0.98593,0.0000000
0.10557,0.59566,0.00394,0.00224,0.29259,0.1680210
0.10353,0.60080,0.00155,0.00059,0.29354,0.1606280
0.11449,0.59362,0.00004,0.00087,0.29098,0.1592647
0.12150,0.57149,0.00296,0.00428,0.29977,0.1619534
0.11551,0.59029,0.00024,0.00221,0.29174,0.1615735
0.12735,0.57563,0.00430,0.00104,0.29168,0.1651209
0.12569,0.57922,0.00093,0.00307,0.29110,0.1605059
0.12602,0.57577,0.00251,0.00323,0.29247,0.1627036
0.00447,0.00029,0.00258,0.98923,0.00343,0.0000000
0.11134,0.59436,0.00310,0.00138,0.28982,0.1636310
0.12008,0.58883,0.00003,0.00007,0.29099,0.1696717
0.11204,0.59396,0.00012,0.00197,0.29190,0.1601870
0.13035,0.57098,0.00204,0.00400,0.29262,0.1644381
0.12974,0.56715,0.00256,0.00396,0.29659,0.1651744
0.12790,0.56653,0.00292,0.00346,0.29919,0.1616609
0.12760,0.56103,0.00463,0.00492,0.30182,0.1595117
0.11563,0.59631,0.00122,0.00099,0.28585,0.1653777
0.11114,0.59887,0.00144,0.00239,0.28616,0.1646847
0.10763,0.60173,0.00375,0.00132,0.28557,0.1561877
0.13555,0.57687,0.00215,0.00225,0.28319,0.1582831
0.09901,0.59309,0.00417,0.00230,0.30143,0.1586915
0.13838,0.57813,0.00312,0.00315,0.27722,0.1633339
0.14128,0.57592,0.00383,0.00179,0.27718,0.1603931
0.12842,0.58942,0.00168,0.00052,0.27996,0.1653588
0.13575,0.57930,0.00354,0.00397,0.27744,0.1624460
0.13432,0.58220,0.00112,0.00469,0.27768,0.1626005
0.12983,0.58814,0.00267,0.00210,0.27726,0.1645548
0.12825,0.59153,0.00193,0.00112,0.27717,0.1614036
0.13059,0.58489,0.00359,0.00023,0.28071,0.1659637
0.13420,0.56467,0.00445,0.00482,0.29186,0.1601879
0.12149,0.59789,0.00131,0.00165,0.27767,0.1635322
0.11384,0.56515,0.00367,0.02310,0.29424,0.1634322
0.12096,0.59362,0.00176,0.00318,0.28049,0.1605428
0.00332,0.00390,0.63389,0.35549,0.00340,0.0654760
0.13821,0.57244,0.00441,0.00341,0.28153,0.1643692
0.13778,0.57505,0.00452,0.00078,0.28188,0.1566512
0.10922,0.56639,0.00355,0.02278,0.29806,0.1610059
0.10324,0.59975,0.00430,0.00243,0.29028,0.1658994
0.10417,0.59917,0.00390,0.00077,0.29199,0.1634275
0.10504,0.60354,0.00353,0.00178,0.28611,0.1679309
0.10574,0.60539,0.00222,0.00055,0.28610,0.1624848
0.09845,0.60509,0.00309,0.00200,0.29138,0.1633555
0.10471,0.60179,0.00289,0.00031,0.29029,0.1595055
0.10386,0.60119,0.00441,0.00136,0.28917,0.1645226
0.10273,0.60421,0.00348,0.00001,0.28957,0.1677895
0.10124,0.60645,0.00244,0.00042,0.28945,0.1664548
0.09014,0.60515,0.00430,0.00258,0.29783,0.1629396
0.00293,0.30565,0.68854,0.00017,0.00270,0.0568345
0.09257,0.60807,0.00346,0.00419,0.29171,0.1665917
0.09556,0.60988,0.00092,0.00295,0.29069,0.1621144
0.09097,0.60916,0.00385,0.00113,0.29490,0.1695780
0.08877,0.60874,0.00234,0.00148,0.29868,0.1653213
0.08354,0.61226,0.00040,0.00443,0.29938,0.1657683
0.08215,0.60989,0.00290,0.00287,0.30219,0.1589303
0.09305,0.60925,0.00174,0.00289,0.29307,0.1631421
0.09213,0.60650,0.00048,0.00443,0.29645,0.1619490
0.00139,0.00185,0.00060,0.54795,0.44821,0.0003116
0.09311,0.60904,0.00108,0.00371,0.29307,0.1668777
0.09134,0.61050,0.00320,0.00147,0.29350,0.1649049
0.09043,0.61287,0.00224,0.00078,0.29369,0.1670666
0.09074,0.61049,0.00048,0.00494,0.29335,0.1636233
0.09093,0.61165,0.00185,0.00234,0.29324,0.1549025
0.09424,0.60945,0.00315,0.00089,0.29227,0.1613858
0.00360,0.00105,0.70067,0.00427,0.29042,0.0786214
0.09637,0.60975,0.00492,0.00083,0.28813,0.1601369
0.09973,0.60577,0.00420,0.00090,0.28940,0.1614488
0.10437,0.60308,0.00055,0.00467,0.28734,0.1643250
0.09838,0.60486,0.00363,0.00157,0.29156,0.1669016
0.10387,0.60587,0.00149,0.00009,0.28867,0.1626697
0.10307,0.60857,0.00248,0.00070,0.28518,0.1595842
