     Ag,     Ir,     Pd,     Pt,     Ru, activity
1.00000,0.00000,0.00000,0.00000,0.00000,0.0086707
0.99000,0.00000,0.01000,0.00000,0.00000,0.0086393
0.98000,0.00000,0.02000,0.00000,0.00000,0.0086580
0.97000,0.00000,0.03000,0.00000,0.00000,0.0085949
0.96000,0.00000,0.04000,0.00000,0.00000,0.0087350
0.95000,0.00000,0.05000,0.00000,0.00000,0.0087975
0.94000,0.00000,0.06000,0.00000,0.00000,0.0092512
0.93000,0.00000,0.07000,0.00000,0.00000,0.0093273
0.92000,0.00000,0.08000,0.00000,0.00000,0.0092438
0.91000,0.00000,0.09000,0.00000,0.00000,0.0094659
0.90000,0.00000,0.10000,0.00000,0.00000,0.0101611
0.89000,0.00000,0.11000,0.00000,0.00000,0.0105023
0.88000,0.00000,0.12000,0.00000,0.00000,0.0109214
0.87000,0.00000,0.13000,0.00000,0.00000,0.0108175
0.86000,0.00000,0.14000,0.00000,0.00000,0.0109862
0.85000,0.00000,0.15000,0.00000,0.00000,0.0120379
0.84000,0.00000,0.16000,0.00000,0.00000,0.0127198
0.83000,0.00000,0.17000,0.00000,0.00000,0.0125244
0.82000,0.00000,0.18000,0.00000,0.00000,0.0138459
0.81000,0.00000,0.19000,0.00000,0.00000,0.0140144
0.80000,0.00000,0.20000,0.00000,0.00000,0.0145908
0.79000,0.00000,0.21000,0.00000,0.00000,0.0159649
0.78000,0.00000,0.22000,0.00000,0.00000,0.0169709
0.77000,0.00000,0.23000,0.00000,0.00000,0.0180584
0.76000,0.00000,0.24000,0.00000,0.00000,0.0188897
0.75000,0.00000,0.25000,0.00000,0.00000,0.0188494
0.74000,0.00000,0.26000,0.00000,0.00000,0.0193315
0.73000,0.00000,0.27000,0.00000,0.00000,0.0217695
0.72000,0.00000,0.28000,0.00000,0.00000,0.0220349
0.71000,0.00000,0.29000,0.00000,0.00000,0.0247612
0.70000,0.00000,0.30000,0.00000,0.00000,0.0234077
0.69000,0.00000,0.31000,0.00000,0.00000,0.0257491
0.68000,0.00000,0.32000,0.00000,0.00000,0.0306825
0.67000,0.00000,0.33000,0.00000,0.00000,0.0306413
0.66000,0.00000,0.34000,0.00000,0.00000,0.0302419
0.65000,0.00000,0.35000,0.00000,0.00000,0.0319777
0.64000,0.00000,0.36000,0.00000,0.00000,0.0345103
0.63000,0.00000,0.37000,0.00000,0.00000,0.0362332
0.62000,0.00000,0.38000,0.00000,0.00000,0.0394366
0.61000,0.00000,0.39000,0.00000,0.00000,0.0378122
0.60000,0.00000,0.40000,0.00000,0.00000,0.0455098
0.59000,0.00000,0.41000,0.00000,0.00000,0.0432797
0.58000,0.00000,0.42000,0.00000,0.00000,0.0491030
0.57000,0.00000,0.43000,0.00000,0.00000,0.0495464
0.56000,0.00000,0.44000,0.00000,0.00000,0.0510266
0.55000,0.00000,0.45000,0.00000,0.00000,0.0561463
0.54000,0.00000,0.46000,0.00000,0.00000,0.0584047
0.53000,0.00000,0.47000,0.00000,0.00000,0.0595480
0.52000,0.00000,0.48000,0.00000,0.00000,0.0660027
0.51000,0.00000,0.49000,0.00000,0.00000,0.0653297
0.50000,0.00000,0.50000,0.00000,0.00000,0.0665948
0.49000,0.00000,0.51000,0.00000,0.00000,0.0696157
0.48000,0.00000,0.52000,0.00000,0.00000,0.0783357
0.47000,0.00000,0.53000,0.00000,0.00000,0.0834856
0.46000,0.00000,0.54000,0.00000,0.00000,0.0842899
0.45000,0.00000,0.55000,0.00000,0.00000,0.0923830
0.44000,0.00000,0.56000,0.00000,0.00000,0.0921262
0.43000,0.00000,0.57000,0.00000,0.00000,0.0987998
0.42000,0.00000,0.58000,0.00000,0.00000,0.1018085
0.41000,0.00000,0.59000,0.00000,0.00000,0.1054963
0.40000,0.00000,0.60000,0.00000,0.00000,0.1110171
0.39000,0.00000,0.61000,0.00000,0.00000,0.1150480
0.38000,0.00000,0.62000,0.00000,0.00000,0.1256266
0.37000,0.00000,0.63000,0.00000,0.00000,0.1298922
0.36000,0.00000,0.64000,0.00000,0.00000,0.1336854
0.35000,0.00000,0.65000,0.00000,0.00000,0.1434886
0.34000,0.00000,0.66000,0.00000,0.00000,0.1463176
0.33000,0.00000,0.67000,0.00000,0.00000,0.1447582
0.32000,0.00000,0.68000,0.00000,0.00000,0.1623578
0.31000,0.00000,0.69000,0.00000,0.00000,0.1632100
0.30000,0.00000,0.70000,0.00000,0.00000,0.1716476
0.29000,0.00000,0.71000,0.00000,0.00000,0.1727373
0.28000,0.00000,0.72000,0.00000,0.00000,0.1804776
0.27000,0.00000,0.73000,0.00000,0.00000,0.1772109
0.26000,0.00000,0.74000,0.00000,0.00000,0.1875191
0.25000,0.00000,0.75000,0.00000,0.00000,0.1917813
0.24000,0.00000,0.76000,0.00000,0.00000,0.1981950
0.23000,0.00000,0.77000,0.00000,0.00000,0.1943271
0.22000,0.00000,0.78000,0.00000,0.00000,0.1996148
0.21000,0.00000,0.79000,0.00000,0.00000,0.2106875
0.20000,0.00000,0.80000,0.00000,0.00000,0.2085599
0.19000,0.00000,0.81000,0.00000,0.00000,0.2045425
0.18000,0.00000,0.82000,0.00000,0.00000,0.2116931
0.17000,0.00000,0.83000,0.00000,0.00000,0.2138447
0.16000,0.00000,0.84000,0.00000,0.00000,0.2057925
0.15000,0.00000,0.85000,0.00000,0.00000,0.2049269
0.14000,0.00000,0.86000,0.00000,0.00000,0.2033865
0.13000,0.00000,0.87000,0.00000,0.00000,0.2008192
0.12000,0.00000,0.88000,0.00000,0.00000,0.1997995
0.11000,0.00000,0.89000,0.00000,0.00000,0.1977304
0.10000,0.00000,0.90000,0.00000,0.00000,0.1891504
0.09000,0.00000,0.91000,0.00000,0.00000,0.1822477
0.08000,0.00000,0.92000,0.00000,0.00000,0.1686143
0.07000,0.00000,0.93000,0.00000,0.00000,0.1637227
0.06000,0.00000,0.94000,0.00000,0.00000,0.1423485
0.05000,0.00000,0.95000,0.00000,0.00000,0.1363452
0.04000,0.00000,0.96000,0.00000,0.00000,0.1230258
0.03000,0.00000,0.97000,0.00000,0.00000,0.1094097
0.02000,0.00000,0.98000,0.00000,0.00000,0.0943321
0.01000,0.00000,0.99000,0.00000,0.00000,0.0740598
0.00000,0.00000,1.00000,0.00000,0.00000,0.0585041
