     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.00000,1.00000,0.00000,0.00000,0.00000,0.0000001
0.00000,0.99000,0.00000,0.01000,0.00000,0.0009823
0.00000,0.98000,0.00000,0.02000,0.00000,0.0024101
0.00000,0.97000,0.00000,0.03000,0.00000,0.0078347
0.00000,0.96000,0.00000,0.04000,0.00000,0.0102488
0.00000,0.95000,0.00000,0.05000,0.00000,0.0151659
0.00000,0.94000,0.00000,0.06000,0.00000,0.0206627
0.00000,0.93000,0.00000,0.07000,0.00000,0.0249258
0.00000,0.92000,0.00000,0.08000,0.00000,0.0283749
0.00000,0.91000,0.00000,0.09000,0.00000,0.0359164
0.00000,0.90000,0.00000,0.10000,0.00000,0.0395793
0.00000,0.89000,0.00000,0.11000,0.00000,0.0435603
0.00000,0.88000,0.00000,0.12000,0.00000,0.0510221
0.00000,0.87000,0.00000,0.13000,0.00000,0.0536112
0.00000,0.86000,0.00000,0.14000,0.00000,0.0592236
0.00000,0.85000,0.00000,0.15000,0.00000,0.0655638
0.00000,0.84000,0.00000,0.16000,0.00000,0.0720153
0.00000,0.83000,0.00000,0.17000,0.00000,0.0760648
0.00000,0.82000,0.00000,0.18000,0.00000,0.0757011
0.00000,0.81000,0.00000,0.19000,0.00000,0.0837119
0.00000,0.80000,0.00000,0.20000,0.00000,0.0899156
0.00000,0.79000,0.00000,0.21000,0.00000,0.0901189
0.00000,0.78000,0.00000,0.22000,0.00000,0.0957009
0.00000,0.77000,0.00000,0.23000,0.00000,0.0970281
0.00000,0.76000,0.00000,0.24000,0.00000,0.1014658
0.00000,0.75000,0.00000,0.25000,0.00000,0.0993544
0.00000,0.74000,0.00000,0.26000,0.00000,0.1046265
0.00000,0.73000,0.00000,0.27000,0.00000,0.1159696
0.00000,0.72000,0.00000,0.28000,0.00000,0.1158315
0.00000,0.71000,0.00000,0.29000,0.00000,0.1174958
0.00000,0.70000,0.00000,0.30000,0.00000,0.1177898
0.00000,0.69000,0.00000,0.31000,0.00000,0.1220433
0.00000,0.68000,0.00000,0.32000,0.00000,0.1240432
0.00000,0.67000,0.00000,0.33000,0.00000,0.1243819
0.00000,0.66000,0.00000,0.34000,0.00000,0.1307931
0.00000,0.65000,0.00000,0.35000,0.00000,0.1311551
0.00000,0.64000,0.00000,0.36000,0.00000,0.1350095
0.00000,0.63000,0.00000,0.37000,0.00000,0.1388074
0.00000,0.62000,0.00000,0.38000,0.00000,0.1375626
0.00000,0.61000,0.00000,0.39000,0.00000,0.1419725
0.00000,0.60000,0.00000,0.40000,0.00000,0.1457228
0.00000,0.59000,0.00000,0.41000,0.00000,0.1412476
0.00000,0.58000,0.00000,0.42000,0.00000,0.1389665
0.00000,0.57000,0.00000,0.43000,0.00000,0.1421879
0.00000,0.56000,0.00000,0.44000,0.00000,0.1437973
0.00000,0.55000,0.00000,0.45000,0.00000,0.1489408
0.00000,0.54000,0.00000,0.46000,0.00000,0.1502925
0.00000,0.53000,0.00000,0.47000,0.00000,0.1494710
0.00000,0.52000,0.00000,0.48000,0.00000,0.1498440
0.00000,0.51000,0.00000,0.49000,0.00000,0.1500580
0.00000,0.50000,0.00000,0.50000,0.00000,0.1515205
0.00000,0.49000,0.00000,0.51000,0.00000,0.1524563
0.00000,0.48000,0.00000,0.52000,0.00000,0.1536166
0.00000,0.47000,0.00000,0.53000,0.00000,0.1495276
0.00000,0.46000,0.00000,0.54000,0.00000,0.1552950
0.00000,0.45000,0.00000,0.55000,0.00000,0.1504070
0.00000,0.44000,0.00000,0.56000,0.00000,0.1505738
0.00000,0.43000,0.00000,0.57000,0.00000,0.1490498
0.00000,0.42000,0.00000,0.58000,0.00000,0.1501988
0.00000,0.41000,0.00000,0.59000,0.00000,0.1494230
0.00000,0.40000,0.00000,0.60000,0.00000,0.1421476
0.00000,0.39000,0.00000,0.61000,0.00000,0.1409799
0.00000,0.38000,0.00000,0.62000,0.00000,0.1431114
0.00000,0.37000,0.00000,0.63000,0.00000,0.1390016
0.00000,0.36000,0.00000,0.64000,0.00000,0.1406656
0.00000,0.35000,0.00000,0.65000,0.00000,0.1337774
0.00000,0.34000,0.00000,0.66000,0.00000,0.1339978
0.00000,0.33000,0.00000,0.67000,0.00000,0.1342628
0.00000,0.32000,0.00000,0.68000,0.00000,0.1299783
0.00000,0.31000,0.00000,0.69000,0.00000,0.1271173
0.00000,0.30000,0.00000,0.70000,0.00000,0.1301281
0.00000,0.29000,0.00000,0.71000,0.00000,0.1251546
0.00000,0.28000,0.00000,0.72000,0.00000,0.1229525
0.00000,0.27000,0.00000,0.73000,0.00000,0.1228573
0.00000,0.26000,0.00000,0.74000,0.00000,0.1222494
0.00000,0.25000,0.00000,0.75000,0.00000,0.1195498
0.00000,0.24000,0.00000,0.76000,0.00000,0.1168074
0.00000,0.23000,0.00000,0.77000,0.00000,0.1102498
0.00000,0.22000,0.00000,0.78000,0.00000,0.1097465
0.00000,0.21000,0.00000,0.79000,0.00000,0.1059844
0.00000,0.20000,0.00000,0.80000,0.00000,0.1053316
0.00000,0.19000,0.00000,0.81000,0.00000,0.0976721
0.00000,0.18000,0.00000,0.82000,0.00000,0.0984249
0.00000,0.17000,0.00000,0.83000,0.00000,0.0942035
0.00000,0.16000,0.00000,0.84000,0.00000,0.0896165
0.00000,0.15000,0.00000,0.85000,0.00000,0.0883634
0.00000,0.14000,0.00000,0.86000,0.00000,0.0825965
0.00000,0.13000,0.00000,0.87000,0.00000,0.0799572
0.00000,0.12000,0.00000,0.88000,0.00000,0.0774497
0.00000,0.11000,0.00000,0.89000,0.00000,0.0740256
0.00000,0.10000,0.00000,0.90000,0.00000,0.0703186
0.00000,0.09000,0.00000,0.91000,0.00000,0.0657976
0.00000,0.08000,0.00000,0.92000,0.00000,0.0641294
0.00000,0.07000,0.00000,0.93000,0.00000,0.0607842
0.00000,0.06000,0.00000,0.94000,0.00000,0.0584063
0.00000,0.05000,0.00000,0.95000,0.00000,0.0546583
0.00000,0.04000,0.00000,0.96000,0.00000,0.0521328
0.00000,0.03000,0.00000,0.97000,0.00000,0.0480971
0.00000,0.02000,0.00000,0.98000,0.00000,0.0443940
0.00000,0.01000,0.00000,0.99000,0.00000,0.0413749
0.00000,0.00000,0.00000,1.00000,0.00000,0.0382438
