     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.00000,0.00000,1.00000,0.00000,0.00000,0.0585041
0.00000,0.00000,0.99000,0.00000,0.01000,0.0671611
0.00000,0.00000,0.98000,0.00000,0.02000,0.0742725
0.00000,0.00000,0.97000,0.00000,0.03000,0.0810405
0.00000,0.00000,0.96000,0.00000,0.04000,0.0857047
0.00000,0.00000,0.95000,0.00000,0.05000,0.0913448
0.00000,0.00000,0.94000,0.00000,0.06000,0.0908834
0.00000,0.00000,0.93000,0.00000,0.07000,0.0982841
0.00000,0.00000,0.92000,0.00000,0.08000,0.1011236
0.00000,0.00000,0.91000,0.00000,0.09000,0.1040140
0.00000,0.00000,0.90000,0.00000,0.10000,0.1052172
0.00000,0.00000,0.89000,0.00000,0.11000,0.1074489
0.00000,0.00000,0.88000,0.00000,0.12000,0.1129919
0.00000,0.00000,0.87000,0.00000,0.13000,0.1140545
0.00000,0.00000,0.86000,0.00000,0.14000,0.1187109
0.00000,0.00000,0.85000,0.00000,0.15000,0.1177818
0.00000,0.00000,0.84000,0.00000,0.16000,0.1235494
0.00000,0.00000,0.83000,0.00000,0.17000,0.1202728
0.00000,0.00000,0.82000,0.00000,0.18000,0.1271517
0.00000,0.00000,0.81000,0.00000,0.19000,0.1305987
0.00000,0.00000,0.80000,0.00000,0.20000,0.1311486
0.00000,0.00000,0.79000,0.00000,0.21000,0.1386404
0.00000,0.00000,0.78000,0.00000,0.22000,0.1380083
0.00000,0.00000,0.77000,0.00000,0.23000,0.1378357
0.00000,0.00000,0.76000,0.00000,0.24000,0.1417591
0.00000,0.00000,0.75000,0.00000,0.25000,0.1477353
0.00000,0.00000,0.74000,0.00000,0.26000,0.1453589
0.00000,0.00000,0.73000,0.00000,0.27000,0.1517859
0.00000,0.00000,0.72000,0.00000,0.28000,0.1495422
0.00000,0.00000,0.71000,0.00000,0.29000,0.1556112
0.00000,0.00000,0.70000,0.00000,0.30000,0.1523888
0.00000,0.00000,0.69000,0.00000,0.31000,0.1493676
0.00000,0.00000,0.68000,0.00000,0.32000,0.1491051
0.00000,0.00000,0.67000,0.00000,0.33000,0.1474795
0.00000,0.00000,0.66000,0.00000,0.34000,0.1532489
0.00000,0.00000,0.65000,0.00000,0.35000,0.1501219
0.00000,0.00000,0.64000,0.00000,0.36000,0.1476053
0.00000,0.00000,0.63000,0.00000,0.37000,0.1467176
0.00000,0.00000,0.62000,0.00000,0.38000,0.1448638
0.00000,0.00000,0.61000,0.00000,0.39000,0.1478559
0.00000,0.00000,0.60000,0.00000,0.40000,0.1450311
0.00000,0.00000,0.59000,0.00000,0.41000,0.1391097
0.00000,0.00000,0.58000,0.00000,0.42000,0.1380566
0.00000,0.00000,0.57000,0.00000,0.43000,0.1386445
0.00000,0.00000,0.56000,0.00000,0.44000,0.1388822
0.00000,0.00000,0.55000,0.00000,0.45000,0.1258506
0.00000,0.00000,0.54000,0.00000,0.46000,0.1272432
0.00000,0.00000,0.53000,0.00000,0.47000,0.1237070
0.00000,0.00000,0.52000,0.00000,0.48000,0.1191749
0.00000,0.00000,0.51000,0.00000,0.49000,0.1193060
0.00000,0.00000,0.50000,0.00000,0.50000,0.1069351
0.00000,0.00000,0.49000,0.00000,0.51000,0.1070969
0.00000,0.00000,0.48000,0.00000,0.52000,0.1035732
0.00000,0.00000,0.47000,0.00000,0.53000,0.0932979
0.00000,0.00000,0.46000,0.00000,0.54000,0.0885979
0.00000,0.00000,0.45000,0.00000,0.55000,0.0890706
0.00000,0.00000,0.44000,0.00000,0.56000,0.0789806
0.00000,0.00000,0.43000,0.00000,0.57000,0.0795104
0.00000,0.00000,0.42000,0.00000,0.58000,0.0710303
0.00000,0.00000,0.41000,0.00000,0.59000,0.0667209
0.00000,0.00000,0.40000,0.00000,0.60000,0.0632475
0.00000,0.00000,0.39000,0.00000,0.61000,0.0581091
0.00000,0.00000,0.38000,0.00000,0.62000,0.0562256
0.00000,0.00000,0.37000,0.00000,0.63000,0.0424956
0.00000,0.00000,0.36000,0.00000,0.64000,0.0503534
0.00000,0.00000,0.35000,0.00000,0.65000,0.0433194
0.00000,0.00000,0.34000,0.00000,0.66000,0.0366447
0.00000,0.00000,0.33000,0.00000,0.67000,0.0377868
0.00000,0.00000,0.32000,0.00000,0.68000,0.0345754
0.00000,0.00000,0.31000,0.00000,0.69000,0.0260401
0.00000,0.00000,0.30000,0.00000,0.70000,0.0268926
0.00000,0.00000,0.29000,0.00000,0.71000,0.0222294
0.00000,0.00000,0.28000,0.00000,0.72000,0.0219951
0.00000,0.00000,0.27000,0.00000,0.73000,0.0180212
0.00000,0.00000,0.26000,0.00000,0.74000,0.0141042
0.00000,0.00000,0.25000,0.00000,0.75000,0.0133546
0.00000,0.00000,0.24000,0.00000,0.76000,0.0117589
0.00000,0.00000,0.23000,0.00000,0.77000,0.0098155
0.00000,0.00000,0.22000,0.00000,0.78000,0.0089231
0.00000,0.00000,0.21000,0.00000,0.79000,0.0074595
0.00000,0.00000,0.20000,0.00000,0.80000,0.0060194
0.00000,0.00000,0.19000,0.00000,0.81000,0.0065856
0.00000,0.00000,0.18000,0.00000,0.82000,0.0043899
0.00000,0.00000,0.17000,0.00000,0.83000,0.0030250
0.00000,0.00000,0.16000,0.00000,0.84000,0.0017501
0.00000,0.00000,0.15000,0.00000,0.85000,0.0024253
0.00000,0.00000,0.14000,0.00000,0.86000,0.0015626
0.00000,0.00000,0.13000,0.00000,0.87000,0.0007793
0.00000,0.00000,0.12000,0.00000,0.88000,0.0007006
0.00000,0.00000,0.11000,0.00000,0.89000,0.0006967
0.00000,0.00000,0.10000,0.00000,0.90000,0.0005824
0.00000,0.00000,0.09000,0.00000,0.91000,0.0003556
0.00000,0.00000,0.08000,0.00000,0.92000,0.0002429
0.00000,0.00000,0.07000,0.00000,0.93000,0.0000261
0.00000,0.00000,0.06000,0.00000,0.94000,0.0000461
0.00000,0.00000,0.05000,0.00000,0.95000,0.0000173
0.00000,0.00000,0.04000,0.00000,0.96000,0.0000000
0.00000,0.00000,0.03000,0.00000,0.97000,0.0000000
0.00000,0.00000,0.02000,0.00000,0.98000,0.0000000
0.00000,0.00000,0.01000,0.00000,0.99000,0.0000000
0.00000,0.00000,0.00000,0.00000,1.00000,0.0000000
