     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.20000,0.00000,0.80000,0.00000,0.00000,0.2125780
0.05000,0.10000,0.60000,0.05000,0.20000,0.1599974
0.05000,0.05000,0.65000,0.00000,0.25000,0.1595487
0.00000,0.20000,0.60000,0.00000,0.20000,0.1582116
0.00000,0.00000,0.65000,0.05000,0.30000,0.1569687
0.00000,0.00000,0.55000,0.20000,0.25000,0.1503344
0.00000,0.55000,0.00000,0.45000,0.00000,0.1500368
0.00000,0.45000,0.00000,0.55000,0.00000,0.1470323
0.05000,0.10000,0.20000,0.65000,0.00000,0.0916627
0.85000,0.00000,0.00000,0.00000,0.15000,0.0641723
