  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.11500,0.31000,0.55000,0.00000,0.02500,0.12640,0.00858,0.51345
  3,0.06500,0.32000,0.61500,0.00000,0.00000,0.13068,0.00739,0.68461
  4,0.22500,0.10000,0.62500,0.00000,0.05000,0.14212,0.00625,0.60170
  5,0.20000,0.11000,0.62000,0.00000,0.07000,0.13970,0.00535,0.62217
  6,0.12500,0.03500,0.59500,0.00000,0.24500,0.14913,0.00536,0.66205
  7,0.09000,0.02000,0.60000,0.07000,0.22000,0.15073,0.00471,0.63560
  8,0.06500,0.02500,0.59000,0.07000,0.25000,0.14869,0.00526,0.68059
  9,0.03000,0.04000,0.57500,0.07500,0.28000,0.14967,0.00513,0.68507
 10,0.00000,0.00000,0.62500,0.06000,0.31500,0.15296,0.00566,0.71040
 11,0.00000,0.00000,0.65500,0.02000,0.32500,0.15504,0.00612,0.72428
 12,0.00000,0.00000,0.64500,0.03500,0.32000,0.15417,0.00585,0.72349
 13,0.00000,0.00000,0.67000,0.05500,0.27500,0.15401,0.00499,0.67898
 14,0.00000,0.00000,0.68000,0.05500,0.26500,0.15534,0.00496,0.66073
 15,0.00000,0.01000,0.64000,0.05500,0.29500,0.15297,0.00489,0.68847
 16,0.00000,0.08500,0.63500,0.00000,0.28000,0.15569,0.00475,0.64171
 17,0.00000,0.11000,0.62500,0.00000,0.26500,0.15871,0.00485,0.60838
 18,0.00000,0.11000,0.62500,0.00000,0.26500,0.15865,0.00439,0.60387
 19,0.00000,0.11000,0.62500,0.00000,0.26500,0.15857,0.00395,0.59234
 20,0.00000,0.12500,0.61500,0.00000,0.26000,0.16067,0.00402,0.57334
 21,0.00000,0.10000,0.63000,0.00000,0.27000,0.15762,0.00387,0.60080
 22,0.00000,0.10000,0.63000,0.00000,0.27000,0.15760,0.00389,0.59373
 23,0.00000,0.10500,0.63000,0.00000,0.26500,0.15844,0.00391,0.58301
 24,0.00000,0.10500,0.63000,0.00000,0.26500,0.15859,0.00391,0.58112
 25,0.00000,0.10500,0.63000,0.00000,0.26500,0.15869,0.00391,0.57994
 26,0.00000,0.10500,0.63000,0.00000,0.26500,0.15826,0.00390,0.58575
 27,0.00000,0.10500,0.63000,0.00000,0.26500,0.15848,0.00387,0.58145
 28,0.00000,0.10000,0.63500,0.00000,0.26500,0.15861,0.00369,0.55533
 29,0.00000,0.10000,0.63500,0.00000,0.26500,0.15859,0.00344,0.55484
 30,0.00000,0.10000,0.63500,0.00000,0.26500,0.15860,0.00360,0.56518
 31,0.00000,0.10500,0.63500,0.00000,0.26000,0.15886,0.00359,0.56197
 32,0.00000,0.10500,0.63500,0.00000,0.26000,0.15886,0.00359,0.56201
 33,0.00000,0.10500,0.63500,0.00000,0.26000,0.15920,0.00355,0.55648
 34,0.00000,0.10500,0.63500,0.00000,0.26000,0.15905,0.00355,0.55831
 35,0.00000,0.10500,0.63500,0.00000,0.26000,0.15942,0.00352,0.55260
 36,0.00000,0.10500,0.63500,0.00000,0.26000,0.15932,0.00352,0.55410
 37,0.00000,0.10500,0.63500,0.00000,0.26000,0.15948,0.00352,0.55190
 38,0.00000,0.10500,0.63500,0.00000,0.26000,0.15914,0.00356,0.55795
 39,0.00000,0.10500,0.63500,0.00000,0.26000,0.15895,0.00356,0.55993
 40,0.00000,0.10500,0.63500,0.00000,0.26000,0.15901,0.00356,0.55932
 41,0.00000,0.10500,0.63500,0.00000,0.26000,0.15920,0.00354,0.55638
 42,0.00000,0.10500,0.63500,0.00000,0.26000,0.15931,0.00354,0.55489
 43,0.00000,0.10500,0.63500,0.00000,0.26000,0.15896,0.00358,0.56057
 44,0.00000,0.10500,0.63500,0.00000,0.26000,0.15889,0.00358,0.56129
 45,0.00000,0.10000,0.63500,0.00000,0.26500,0.15880,0.00358,0.56218
 46,0.00000,0.10000,0.63500,0.00000,0.26500,0.15870,0.00358,0.56361
 47,0.00000,0.10000,0.63500,0.00000,0.26500,0.15861,0.00358,0.56434
 48,0.00000,0.10000,0.63500,0.00000,0.26500,0.15860,0.00358,0.56443
 49,0.00000,0.10000,0.63500,0.00000,0.26500,0.15853,0.00358,0.56517
 50,0.00000,0.10000,0.63500,0.00000,0.26500,0.15845,0.00358,0.56624
 51,0.00000,0.10000,0.63500,0.00000,0.26500,0.15824,0.00361,0.56952
 52,0.00000,0.10000,0.63500,0.00000,0.26500,0.15816,0.00361,0.57027
 53,0.00000,0.10000,0.63500,0.00000,0.26500,0.15816,0.00334,0.56713
 54,0.00000,0.10000,0.63500,0.00000,0.26500,0.15818,0.00333,0.56678
 55,0.00000,0.10000,0.63500,0.00000,0.26500,0.15812,0.00333,0.56746
 56,0.00000,0.10000,0.63500,0.00000,0.26500,0.15805,0.00334,0.56857
 57,0.00000,0.10000,0.63500,0.00000,0.26500,0.15808,0.00334,0.56818
 58,0.00000,0.10000,0.63500,0.00000,0.26500,0.15815,0.00334,0.56739
 59,0.00000,0.10000,0.63500,0.00000,0.26500,0.15821,0.00335,0.56727
 60,0.00000,0.10000,0.63500,0.00000,0.26500,0.15841,0.00336,0.56615
