     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.04180,0.28001,0.04384,0.34006,0.29429,0.0371884
0.11470,0.21680,0.01050,0.10106,0.55693,0.0039639
0.10442,0.21123,0.07310,0.40416,0.20710,0.0548588
0.19865,0.10527,0.12972,0.56278,0.00358,0.0721708
0.00055,0.00037,0.43795,0.55870,0.00242,0.0870565
0.10484,0.00113,0.70600,0.18470,0.00333,0.1337079
0.00114,0.00200,0.99401,0.00239,0.00045,0.0627250
0.28892,0.00196,0.54010,0.16493,0.00409,0.1264491
0.09304,0.13807,0.57173,0.19225,0.00490,0.1280490
0.14702,0.00203,0.61071,0.23775,0.00249,0.1264136
0.16873,0.00114,0.62842,0.07471,0.12700,0.1365397
0.24524,0.07507,0.65153,0.00427,0.02390,0.1390297
0.22036,0.04654,0.64960,0.04023,0.04327,0.1399935
0.20379,0.11259,0.60916,0.00209,0.07238,0.1438914
0.19229,0.13181,0.59504,0.00479,0.07607,0.1435869
0.22047,0.13700,0.56726,0.00186,0.07341,0.1388968
0.15184,0.13082,0.63055,0.00226,0.08453,0.1474951
0.08438,0.16538,0.64038,0.00081,0.10905,0.1495598
0.00500,0.18993,0.63361,0.00275,0.16871,0.1476957
0.00189,0.29174,0.63815,0.00063,0.06759,0.1306129
0.05668,0.13293,0.63950,0.00212,0.16876,0.1546028
0.00440,0.11103,0.64391,0.00041,0.24025,0.1584972
0.00360,0.05974,0.62876,0.00083,0.30708,0.1576623
0.00212,0.07241,0.64011,0.00039,0.28496,0.1618692
0.99045,0.00012,0.00403,0.00260,0.00279,0.0131363
0.00041,0.03720,0.66548,0.00288,0.29403,0.1553608
0.34631,0.64736,0.00319,0.00135,0.00180,0.0021489
0.00360,0.09077,0.59151,0.00370,0.31042,0.1494740
0.00454,0.07024,0.67380,0.00079,0.25063,0.1562343
0.00295,0.07766,0.66875,0.00368,0.24696,0.1587983
0.00086,0.07818,0.66792,0.00103,0.25200,0.1566809
0.00380,0.07438,0.66663,0.00104,0.25416,0.1597876
0.00466,0.07503,0.66895,0.00025,0.25112,0.1561197
0.00359,0.07638,0.66680,0.00235,0.25090,0.1572293
0.00348,0.05525,0.64976,0.05175,0.23975,0.1550507
0.58575,0.00483,0.00259,0.40356,0.00328,0.0163255
0.00045,0.08063,0.66430,0.00048,0.25414,0.1570061
0.00433,0.07162,0.66751,0.00348,0.25306,0.1593339
0.00431,0.00228,0.00437,0.98898,0.00007,0.0429815
0.00413,0.07242,0.66918,0.00186,0.25240,0.1547355
0.00454,0.07832,0.66410,0.00074,0.25230,0.1567062
0.00032,0.08113,0.66179,0.00467,0.25209,0.1595560
0.00190,0.08250,0.66172,0.00086,0.25301,0.1663586
0.00468,0.08617,0.66328,0.00086,0.24501,0.1621291
0.00268,0.08826,0.66399,0.00093,0.24414,0.1582849
0.00414,0.00278,0.00007,0.60225,0.39076,0.0305313
0.00147,0.08817,0.66222,0.00030,0.24784,0.1594149
0.00128,0.08780,0.66379,0.00320,0.24393,0.1551906
0.00436,0.08692,0.66424,0.00481,0.23967,0.1557316
0.00434,0.04872,0.67266,0.00428,0.27000,0.1613513
0.00453,0.04328,0.67600,0.00113,0.27506,0.1554589
0.54489,0.00163,0.44852,0.00348,0.00148,0.0605097
0.00362,0.06829,0.66746,0.00226,0.25837,0.1557615
0.00086,0.07927,0.66000,0.00041,0.25947,0.1597347
0.00052,0.08020,0.66326,0.00289,0.25314,0.1631547
0.00348,0.08146,0.66186,0.00261,0.25059,0.1586712
0.00051,0.08175,0.66441,0.00436,0.24897,0.1575071
0.00054,0.07836,0.66361,0.00237,0.25512,0.1642873
0.00495,0.07787,0.66660,0.00026,0.25032,0.1640683
0.00212,0.40814,0.00499,0.58446,0.00030,0.1410733
0.00085,0.58423,0.00122,0.41116,0.00254,0.1369119
0.00217,0.05315,0.67872,0.00392,0.26204,0.1571887
0.00247,0.43252,0.15520,0.40967,0.00014,0.0969647
0.00362,0.08658,0.67496,0.00281,0.23204,0.1585955
0.00335,0.08338,0.67282,0.00027,0.24019,0.1592321
0.00259,0.08719,0.67529,0.00416,0.23077,0.1570987
0.00139,0.08286,0.66981,0.00043,0.24552,0.1642395
0.00300,0.00373,0.00081,0.00330,0.98916,0.0000000
0.00015,0.99299,0.00273,0.00102,0.00312,0.0000003
0.09415,0.17305,0.72575,0.00438,0.00267,0.1470367
0.00116,0.08653,0.67564,0.00221,0.23447,0.1596042
0.00028,0.08618,0.68013,0.00286,0.23054,0.1582838
0.00459,0.03245,0.66588,0.00448,0.29260,0.1579414
0.55580,0.00153,0.00168,0.00231,0.43868,0.0327147
0.00197,0.08401,0.67474,0.00124,0.23803,0.1558613
0.00390,0.08072,0.67162,0.00036,0.24340,0.1558731
0.12964,0.43033,0.00042,0.43566,0.00394,0.0796751
0.00135,0.08223,0.66795,0.00113,0.24735,0.1578885
0.00427,0.08252,0.67003,0.00079,0.24238,0.1554574
0.00114,0.06370,0.65757,0.00318,0.27441,0.1584918
0.00184,0.06729,0.65755,0.03336,0.23996,0.1553903
0.00156,0.05248,0.65552,0.00353,0.28690,0.1585522
0.00248,0.06263,0.65556,0.00256,0.27676,0.1612797
0.00018,0.06759,0.65708,0.00175,0.27340,0.1616710
0.00243,0.05950,0.65527,0.00147,0.28133,0.1540365
0.00359,0.08477,0.66960,0.00141,0.24063,0.1586538
0.00020,0.07681,0.66306,0.00126,0.25867,0.1636766
0.00092,0.08306,0.67135,0.00480,0.23986,0.1567029
0.00430,0.07536,0.65305,0.00168,0.26562,0.1581078
0.00297,0.00415,0.64080,0.00466,0.34742,0.1506262
0.00042,0.08790,0.66442,0.00302,0.24424,0.1547398
0.00204,0.00492,0.48505,0.00190,0.50609,0.1024652
0.00162,0.08183,0.66640,0.00179,0.24837,0.1571009
0.03378,0.07179,0.65170,0.00462,0.23811,0.1560067
0.00136,0.08115,0.66846,0.00296,0.24606,0.1605029
0.00447,0.06901,0.65667,0.03796,0.23188,0.1597262
0.00337,0.06900,0.65994,0.03261,0.23509,0.1522022
0.00055,0.08050,0.66791,0.00190,0.24914,0.1590376
0.02823,0.07386,0.65518,0.00365,0.23908,0.1605236
0.00354,0.08117,0.67258,0.00286,0.23985,0.1559013
0.00272,0.08365,0.66280,0.00059,0.25024,0.1580879
0.00471,0.08779,0.64837,0.00429,0.25484,0.1567452
0.00091,0.08046,0.66639,0.00125,0.25099,0.1533590
0.00384,0.08577,0.65129,0.00358,0.25552,0.1569284
0.03199,0.07205,0.65768,0.00444,0.23383,0.1558084
0.00410,0.07243,0.67666,0.00261,0.24420,0.1593981
0.00075,0.07563,0.66895,0.00204,0.25264,0.1564628
0.03202,0.06876,0.65624,0.00454,0.23843,0.1558976
0.00109,0.65919,0.00025,0.00334,0.33614,0.0000752
0.00009,0.07774,0.66788,0.00022,0.25407,0.1600184
0.00015,0.07144,0.67560,0.00345,0.24937,0.1568370
0.00473,0.07180,0.67709,0.00199,0.24438,0.1598333
0.00203,0.07147,0.67651,0.00298,0.24700,0.1545341
0.00069,0.08248,0.65990,0.00158,0.25535,0.1622626
0.00365,0.08591,0.65545,0.00196,0.25303,0.1633553
0.00046,0.08674,0.65175,0.00429,0.25676,0.1551630
0.00207,0.08735,0.64996,0.00396,0.25666,0.1547776
0.68527,0.30487,0.00434,0.00484,0.00069,0.0262127
0.00031,0.07902,0.66535,0.00160,0.25372,0.1617121
0.00315,0.07651,0.66956,0.00047,0.25030,0.1591239
0.00493,0.08097,0.66933,0.00005,0.24471,0.1581309
0.00204,0.08124,0.66754,0.00165,0.24753,0.1615020
0.00394,0.07729,0.67384,0.00100,0.24393,0.1604010
0.00157,0.07648,0.67423,0.00148,0.24624,0.1550143
0.00132,0.08049,0.66254,0.00064,0.25501,0.1606411
0.03280,0.07196,0.65347,0.00419,0.23759,0.1606061
0.02822,0.07559,0.65517,0.00330,0.23772,0.1558209
0.00115,0.08035,0.66222,0.00119,0.25508,0.1614264
0.00272,0.08594,0.65782,0.00136,0.25216,0.1553144
0.00450,0.06772,0.65921,0.02896,0.23960,0.1595255
0.00463,0.07065,0.65526,0.03090,0.23855,0.1604193
0.00242,0.08143,0.66248,0.00107,0.25261,0.1591722
0.00466,0.07132,0.65645,0.02678,0.24079,0.1518052
0.00309,0.06867,0.67919,0.00324,0.24581,0.1580275
0.02817,0.07414,0.65488,0.00491,0.23790,0.1589118
0.00209,0.07403,0.67359,0.00336,0.24694,0.1577496
0.00382,0.08774,0.65124,0.00446,0.25274,0.1608472
0.00130,0.08694,0.65597,0.00285,0.25294,0.1608127
0.00209,0.08859,0.65347,0.00293,0.25292,0.1539019
0.02955,0.07573,0.65340,0.00493,0.23639,0.1584180
0.00035,0.08139,0.66518,0.00036,0.25272,0.1649907
0.00152,0.08679,0.65637,0.00449,0.25083,0.1565866
0.00094,0.07772,0.66666,0.00240,0.25228,0.1583956
0.00139,0.07873,0.66458,0.00053,0.25477,0.1564734
0.00351,0.07606,0.67187,0.00172,0.24684,0.1605327
0.00101,0.07438,0.67176,0.00166,0.25119,0.1571373
0.00242,0.07959,0.66801,0.00018,0.24980,0.1560463
0.00094,0.07857,0.66390,0.00222,0.25437,0.1558256
0.00022,0.06897,0.67590,0.00429,0.25063,0.1609542
0.00432,0.06595,0.67845,0.00288,0.24840,0.1560673
