     Ir,     Pd,     Pt,     Rh,     Ru, activity
1.00000,0.00000,0.00000,0.00000,0.00000,0.0000001
0.45000,0.00000,0.10000,0.45000,0.00000,0.0150639
0.35000,0.05000,0.20000,0.40000,0.00000,0.0273597
0.75000,0.00000,0.10000,0.15000,0.00000,0.0301337
0.60000,0.35000,0.00000,0.00000,0.05000,0.0436512
0.60000,0.05000,0.00000,0.25000,0.10000,0.0025768
0.40000,0.30000,0.00000,0.25000,0.05000,0.0625253
0.35000,0.00000,0.15000,0.45000,0.05000,0.0182988
0.65000,0.20000,0.10000,0.00000,0.05000,0.0333772
0.55000,0.00000,0.30000,0.15000,0.00000,0.0850879
0.40000,0.00000,0.15000,0.35000,0.10000,0.0196256
0.35000,0.35000,0.10000,0.15000,0.05000,0.0793893
0.55000,0.15000,0.20000,0.05000,0.05000,0.0460230
0.45000,0.20000,0.05000,0.10000,0.20000,0.0381290
0.30000,0.40000,0.15000,0.15000,0.00000,0.0811452
0.50000,0.05000,0.30000,0.05000,0.10000,0.0636851
0.50000,0.20000,0.15000,0.15000,0.00000,0.0420291
0.40000,0.05000,0.35000,0.00000,0.20000,0.0583775
0.40000,0.15000,0.15000,0.15000,0.15000,0.0408521
0.45000,0.05000,0.50000,0.00000,0.00000,0.1237619
0.35000,0.10000,0.45000,0.10000,0.00000,0.0819978
0.35000,0.20000,0.25000,0.05000,0.15000,0.0590122
0.30000,0.25000,0.30000,0.05000,0.10000,0.0711969
0.50000,0.00000,0.00000,0.05000,0.45000,0.0000001
0.45000,0.00000,0.10000,0.40000,0.05000,0.0148880
0.75000,0.00000,0.10000,0.10000,0.05000,0.0218763
0.95000,0.05000,0.00000,0.00000,0.00000,0.0003760
0.60000,0.05000,0.00000,0.20000,0.15000,0.0028989
0.35000,0.05000,0.20000,0.35000,0.05000,0.0301250
0.60000,0.30000,0.10000,0.00000,0.00000,0.0444310
0.40000,0.30000,0.00000,0.20000,0.10000,0.0693719
0.55000,0.15000,0.20000,0.00000,0.10000,0.0438656
0.55000,0.00000,0.30000,0.10000,0.05000,0.0807285
0.35000,0.00000,0.15000,0.40000,0.10000,0.0197419
0.40000,0.00000,0.15000,0.30000,0.15000,0.0193355
0.35000,0.35000,0.10000,0.10000,0.10000,0.0893145
0.65000,0.20000,0.05000,0.10000,0.00000,0.0273687
0.45000,0.20000,0.05000,0.05000,0.25000,0.0328742
0.50000,0.05000,0.30000,0.00000,0.15000,0.0635969
0.30000,0.40000,0.15000,0.10000,0.05000,0.0983672
0.50000,0.20000,0.15000,0.10000,0.05000,0.0454677
0.40000,0.05000,0.30000,0.25000,0.00000,0.0559974
0.40000,0.15000,0.15000,0.10000,0.20000,0.0406131
0.35000,0.20000,0.25000,0.00000,0.20000,0.0621208
0.35000,0.10000,0.45000,0.05000,0.05000,0.0844675
0.45000,0.05000,0.45000,0.05000,0.00000,0.1153251
0.30000,0.25000,0.30000,0.00000,0.15000,0.0754854
0.50000,0.00000,0.00000,0.00000,0.50000,0.0000001
0.45000,0.00000,0.10000,0.35000,0.10000,0.0139106
0.75000,0.00000,0.10000,0.05000,0.10000,0.0164797
0.60000,0.05000,0.00000,0.15000,0.20000,0.0026213
0.35000,0.05000,0.20000,0.30000,0.10000,0.0298454
0.60000,0.30000,0.05000,0.05000,0.00000,0.0398754
0.40000,0.30000,0.00000,0.15000,0.15000,0.0710947
0.35000,0.00000,0.15000,0.35000,0.15000,0.0158009
0.95000,0.00000,0.05000,0.00000,0.00000,0.0088865
0.55000,0.00000,0.30000,0.05000,0.10000,0.0693852
0.40000,0.00000,0.15000,0.25000,0.20000,0.0157704
0.55000,0.15000,0.15000,0.15000,0.00000,0.0392509
0.65000,0.20000,0.05000,0.05000,0.05000,0.0268371
0.45000,0.20000,0.05000,0.00000,0.30000,0.0347473
0.35000,0.35000,0.10000,0.05000,0.15000,0.0895041
0.50000,0.05000,0.25000,0.20000,0.00000,0.0546618
0.30000,0.40000,0.15000,0.05000,0.10000,0.0977213
0.40000,0.15000,0.15000,0.05000,0.25000,0.0365616
0.50000,0.20000,0.15000,0.05000,0.10000,0.0463901
0.35000,0.20000,0.20000,0.25000,0.00000,0.0487739
0.40000,0.05000,0.30000,0.20000,0.05000,0.0563284
0.30000,0.25000,0.25000,0.20000,0.00000,0.0602367
0.45000,0.55000,0.00000,0.00000,0.00000,0.0924950
0.45000,0.05000,0.45000,0.00000,0.05000,0.1136332
0.35000,0.10000,0.45000,0.00000,0.10000,0.0868567
0.45000,0.00000,0.10000,0.30000,0.15000,0.0113072
0.60000,0.30000,0.05000,0.00000,0.05000,0.0443963
0.35000,0.05000,0.20000,0.25000,0.15000,0.0289953
0.75000,0.00000,0.10000,0.00000,0.15000,0.0109098
0.60000,0.05000,0.00000,0.10000,0.25000,0.0028213
0.35000,0.00000,0.15000,0.30000,0.20000,0.0145161
0.65000,0.20000,0.05000,0.00000,0.10000,0.0240822
0.40000,0.00000,0.15000,0.20000,0.25000,0.0131887
0.45000,0.20000,0.00000,0.35000,0.00000,0.0310708
0.40000,0.30000,0.00000,0.10000,0.20000,0.0697679
0.55000,0.00000,0.30000,0.00000,0.15000,0.0679262
0.95000,0.00000,0.00000,0.05000,0.00000,0.0000071
0.55000,0.15000,0.15000,0.10000,0.05000,0.0395069
0.50000,0.05000,0.25000,0.15000,0.05000,0.0556185
0.35000,0.35000,0.10000,0.00000,0.20000,0.0852164
0.40000,0.15000,0.15000,0.00000,0.30000,0.0339964
0.50000,0.20000,0.15000,0.00000,0.15000,0.0446092
0.30000,0.40000,0.15000,0.00000,0.15000,0.1015220
0.35000,0.20000,0.20000,0.20000,0.05000,0.0530355
0.40000,0.05000,0.30000,0.15000,0.10000,0.0587946
0.45000,0.50000,0.05000,0.00000,0.00000,0.0869893
0.30000,0.25000,0.25000,0.15000,0.05000,0.0684255
0.35000,0.10000,0.40000,0.15000,0.00000,0.0718146
0.45000,0.05000,0.40000,0.10000,0.00000,0.0990203
0.45000,0.00000,0.10000,0.25000,0.20000,0.0098544
0.75000,0.00000,0.05000,0.20000,0.00000,0.0146413
0.60000,0.30000,0.00000,0.10000,0.00000,0.0389778
0.65000,0.20000,0.00000,0.15000,0.00000,0.0179099
0.35000,0.00000,0.15000,0.25000,0.25000,0.0143915
0.35000,0.05000,0.20000,0.20000,0.20000,0.0273424
0.45000,0.20000,0.00000,0.30000,0.05000,0.0353603
0.40000,0.00000,0.15000,0.15000,0.30000,0.0110007
0.60000,0.05000,0.00000,0.05000,0.30000,0.0016525
0.40000,0.30000,0.00000,0.05000,0.25000,0.0706969
0.55000,0.00000,0.25000,0.20000,0.00000,0.0712571
0.40000,0.15000,0.10000,0.35000,0.00000,0.0302025
0.50000,0.05000,0.25000,0.10000,0.10000,0.0533932
0.30000,0.40000,0.10000,0.20000,0.00000,0.0879136
0.35000,0.35000,0.05000,0.25000,0.00000,0.0729618
0.55000,0.15000,0.15000,0.05000,0.10000,0.0365370
0.50000,0.20000,0.10000,0.20000,0.00000,0.0384618
0.95000,0.00000,0.00000,0.00000,0.05000,0.0000001
0.35000,0.20000,0.20000,0.15000,0.10000,0.0573623
0.40000,0.05000,0.30000,0.10000,0.15000,0.0513254
0.45000,0.50000,0.00000,0.05000,0.00000,0.0866786
0.30000,0.25000,0.25000,0.10000,0.10000,0.0736809
0.35000,0.10000,0.40000,0.10000,0.05000,0.0715829
