     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.17905,0.33794,0.39366,0.03703,0.05232,0.0850989
0.12756,0.37315,0.15743,0.01279,0.32906,0.1230884
0.00499,0.04532,0.00257,0.00145,0.94567,0.0012267
0.15425,0.60487,0.01668,0.00341,0.22079,0.1575695
0.00144,0.79236,0.00118,0.00454,0.20048,0.1001533
0.33521,0.51188,0.00173,0.00111,0.15007,0.1263044
0.11158,0.52437,0.02294,0.15410,0.18702,0.1543217
0.12870,0.55567,0.10927,0.04109,0.16527,0.1460523
0.13056,0.53405,0.00471,0.05610,0.27457,0.1666711
0.08669,0.53515,0.00135,0.05239,0.32440,0.1628997
0.14382,0.51838,0.00133,0.05274,0.28373,0.1637613
0.12776,0.53532,0.00454,0.05579,0.27660,0.1620176
0.12651,0.53489,0.00334,0.05480,0.28046,0.1627583
0.13652,0.54719,0.00091,0.00111,0.31427,0.1635023
0.00437,0.43469,0.00483,0.22942,0.32670,0.1331364
0.23102,0.18751,0.00277,0.57542,0.00327,0.0200145
0.00379,0.00352,0.98921,0.00018,0.00331,0.0669389
0.00056,0.00201,0.61588,0.37955,0.00200,0.0655091
0.00427,0.46586,0.24321,0.28622,0.00045,0.0888574
0.12579,0.53948,0.00390,0.04892,0.28191,0.1639993
0.12691,0.53657,0.00400,0.05219,0.28032,0.1675131
0.12971,0.53510,0.00456,0.05252,0.27812,0.1608785
0.12269,0.54141,0.00122,0.05048,0.28420,0.1634920
0.12233,0.54108,0.00418,0.05113,0.28128,0.1606170
0.13450,0.53471,0.00148,0.04871,0.28061,0.1624776
0.12902,0.54031,0.00032,0.04763,0.28272,0.1634360
0.11740,0.54611,0.00311,0.04562,0.28777,0.1625414
0.13418,0.53141,0.00057,0.05374,0.28011,0.1625759
0.40315,0.00152,0.59072,0.00216,0.00245,0.1705737
0.52172,0.00052,0.47602,0.00112,0.00062,0.1549412
0.36698,0.00088,0.54324,0.08457,0.00433,0.1374369
0.32842,0.00350,0.57164,0.00308,0.09336,0.1334371
0.57577,0.00221,0.00372,0.00018,0.41812,0.0000045
0.17240,0.65771,0.00233,0.16472,0.00284,0.1224417
0.00348,0.00035,0.00045,0.55428,0.44144,0.0000544
0.00062,0.54809,0.00159,0.00313,0.44657,0.1446500
0.00280,0.59556,0.00308,0.19099,0.20757,0.1286190
0.14895,0.46759,0.00037,0.00480,0.37828,0.1513342
0.98958,0.00342,0.00383,0.00160,0.00157,0.0001566
0.39230,0.00074,0.60448,0.00151,0.00097,0.1678307
0.00004,0.00355,0.49092,0.00465,0.50085,0.0400751
0.32567,0.43392,0.00333,0.23548,0.00160,0.0993199
0.00414,0.00424,0.35103,0.35479,0.28580,0.0166433
0.63159,0.00306,0.00325,0.36078,0.00132,0.0011304
0.00209,0.53523,0.14995,0.00187,0.31087,0.1547211
0.00279,0.27575,0.71553,0.00374,0.00220,0.0558050
0.00198,0.37165,0.00391,0.09795,0.52450,0.1130741
0.00059,0.67479,0.32106,0.00243,0.00113,0.0610713
0.04102,0.52871,0.06086,0.05953,0.30988,0.1600881
0.00160,0.41704,0.30048,0.00345,0.27743,0.1322729
0.00210,0.00459,0.00045,0.99104,0.00182,0.0000000
0.39617,0.00084,0.60053,0.00089,0.00157,0.1623763
0.00230,0.49790,0.10624,0.08233,0.31124,0.1539815
0.13870,0.51843,0.00139,0.08547,0.25602,0.1622179
0.00066,0.00021,0.76565,0.00496,0.22852,0.0815608
0.00312,0.45883,0.00100,0.53533,0.00172,0.0450453
0.12280,0.57013,0.00452,0.00128,0.30127,0.1664161
0.12698,0.57521,0.00095,0.00050,0.29635,0.1603122
0.39700,0.00258,0.59407,0.00489,0.00147,0.1575167
0.00365,0.00133,0.32165,0.67144,0.00193,0.0195333
0.11999,0.55738,0.00101,0.03384,0.28777,0.1644855
0.11587,0.55617,0.00205,0.03521,0.29070,0.1609871
0.29702,0.69976,0.00249,0.00063,0.00010,0.1059434
0.12216,0.56385,0.00299,0.01258,0.29842,0.1652075
0.11918,0.55906,0.00158,0.02515,0.29503,0.1718368
0.12221,0.55898,0.00316,0.02249,0.29315,0.1617612
0.11947,0.55849,0.00297,0.02448,0.29459,0.1582982
0.41586,0.00283,0.58026,0.00021,0.00085,0.1625211
0.11927,0.55447,0.00124,0.03490,0.29012,0.1628860
0.12130,0.55529,0.00081,0.03652,0.28608,0.1611104
0.11857,0.55499,0.00374,0.03301,0.28971,0.1650773
0.11847,0.55394,0.00189,0.03836,0.28734,0.1582537
0.12651,0.56202,0.00459,0.00162,0.30526,0.1609263
0.11775,0.54691,0.00369,0.04711,0.28454,0.1655442
0.11227,0.54494,0.00493,0.05087,0.28698,0.1628690
0.11949,0.54635,0.00070,0.04890,0.28457,0.1648181
0.12121,0.54911,0.00004,0.04605,0.28358,0.1635543
0.41083,0.00184,0.58319,0.00272,0.00142,0.1606833
0.11717,0.54914,0.00220,0.04489,0.28660,0.1630468
0.11925,0.54709,0.00328,0.04426,0.28611,0.1663684
0.11988,0.55065,0.00133,0.04239,0.28574,0.1696068
0.11957,0.54833,0.00255,0.04422,0.28534,0.1682814
0.12140,0.54804,0.00003,0.04335,0.28718,0.1668656
0.11580,0.54673,0.00459,0.04581,0.28707,0.1676326
0.11899,0.55079,0.00152,0.04398,0.28471,0.1639389
0.11456,0.54648,0.00418,0.04848,0.28629,0.1650959
0.11732,0.54879,0.00150,0.04538,0.28702,0.1639961
0.11712,0.54597,0.00475,0.04614,0.28603,0.1607669
0.11602,0.54803,0.00361,0.04512,0.28721,0.1625472
0.12034,0.54836,0.00200,0.04452,0.28479,0.1623471
0.11722,0.54735,0.00382,0.04299,0.28862,0.1632178
0.11761,0.54950,0.00327,0.04392,0.28570,0.1674349
0.35479,0.00319,0.63529,0.00249,0.00423,0.1549976
0.11708,0.54845,0.00329,0.04427,0.28691,0.1656701
0.11896,0.54886,0.00036,0.04572,0.28610,0.1657172
0.11867,0.54698,0.00276,0.04484,0.28675,0.1672300
0.12074,0.55106,0.00023,0.04498,0.28298,0.1602530
0.11567,0.54877,0.00276,0.04645,0.28635,0.1632976
0.11625,0.54856,0.00480,0.04248,0.28791,0.1634440
0.11562,0.54855,0.00334,0.04484,0.28766,0.1647928
0.11545,0.54856,0.00474,0.04242,0.28883,0.1605275
0.11998,0.54689,0.00184,0.04562,0.28567,0.1656911
0.12122,0.54828,0.00165,0.04586,0.28299,0.1636746
0.11439,0.54812,0.00423,0.04554,0.28773,0.1614606
0.11783,0.54694,0.00254,0.04776,0.28493,0.1677179
0.43340,0.00241,0.55830,0.00415,0.00174,0.1613129
0.12158,0.54971,0.00057,0.04523,0.28291,0.1698592
