  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00051,0.00515,0.30390
  2,0.04000,0.29500,0.36500,0.13500,0.16500,0.10061,0.00515,0.30390
  3,0.00000,0.33500,0.40500,0.14500,0.11500,0.10518,0.00448,0.47921
  4,0.02000,0.38000,0.31500,0.12000,0.16500,0.10493,0.00316,0.39027
  5,0.00000,0.42500,0.20000,0.23000,0.14500,0.11971,0.00365,0.47558
  6,0.00000,0.58000,0.01000,0.02000,0.39000,0.15930,0.00725,0.65249
  7,0.00000,0.61000,0.02000,0.05500,0.31500,0.15758,0.00551,0.58755
  8,0.00000,0.48500,0.07000,0.11000,0.33500,0.15620,0.00406,0.47031
  9,0.00000,0.50000,0.13000,0.03000,0.34000,0.15803,0.00376,0.43823
 10,0.00000,0.51000,0.10000,0.06500,0.32500,0.15421,0.00342,0.43141
 11,0.09000,0.51000,0.05000,0.03000,0.32000,0.15936,0.00356,0.42513
 12,0.10000,0.51000,0.05000,0.03500,0.30500,0.15917,0.00345,0.43408
 13,0.10000,0.51000,0.05000,0.04000,0.30000,0.15956,0.00314,0.43050
 14,0.10500,0.52500,0.01500,0.04000,0.31500,0.15684,0.00353,0.45235
 15,0.10500,0.52500,0.01500,0.04000,0.31500,0.15684,0.00315,0.44622
 16,0.10500,0.52500,0.02000,0.04000,0.31000,0.15665,0.00298,0.44864
 17,0.10000,0.52500,0.02000,0.04000,0.31500,0.15672,0.00282,0.44920
 18,0.09500,0.54000,0.00000,0.02500,0.34000,0.15974,0.00289,0.43576
 19,0.09500,0.54000,0.00000,0.02500,0.34000,0.15976,0.00273,0.43234
 20,0.09500,0.54000,0.00000,0.02500,0.34000,0.15967,0.00260,0.43471
 21,0.42500,0.00000,0.57500,0.00000,0.00000,0.16038,0.00455,0.42156
 21,0.09000,0.55000,0.00000,0.01500,0.34500,0.16064,0.00455,0.42156
 22,0.46500,0.00000,0.53500,0.00000,0.00000,0.16252,0.00453,0.42567
 22,0.09000,0.55000,0.00000,0.01500,0.34500,0.16071,0.00453,0.42567
 23,0.46500,0.00000,0.53500,0.00000,0.00000,0.16270,0.00484,0.43305
 23,0.09000,0.55000,0.00000,0.01500,0.34500,0.16061,0.00484,0.43305
 24,0.45500,0.00000,0.54500,0.00000,0.00000,0.16257,0.00589,0.41866
 24,0.10000,0.54500,0.00000,0.02500,0.33000,0.16134,0.00589,0.41866
 25,0.45000,0.00000,0.55000,0.00000,0.00000,0.16237,0.00587,0.42429
 25,0.10000,0.54500,0.00000,0.02500,0.33000,0.16126,0.00587,0.42429
 26,0.45000,0.00000,0.55000,0.00000,0.00000,0.16233,0.00559,0.42314
 26,0.10000,0.54500,0.00000,0.02500,0.33000,0.16122,0.00559,0.42314
 27,0.45500,0.00000,0.54500,0.00000,0.00000,0.16270,0.00527,0.41701
 27,0.09500,0.54500,0.00000,0.02500,0.33500,0.16110,0.00527,0.41701
 28,0.45500,0.00000,0.54500,0.00000,0.00000,0.16266,0.00523,0.42168
