ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	Activity	Distance	v_min
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.8  0.05 0.05 0.05 0.05]	[-0.179  0.045  0.045  0.045  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.027012725749533062	1.03	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.8  0.05 0.05 0.05]	[ 0.045 -0.179  0.045  0.045  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.007287080786378375	1.1	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.8  0.05 0.05]	[ 0.045  0.045 -0.179  0.045  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1416984889241232	0.1	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.05 0.8  0.05]	[ 0.045  0.045  0.045 -0.179  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.031007911986536824	1.1	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.05 0.05 0.8 ]	[ 0.045  0.045  0.045  0.045 -0.179]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.015787588371734072	1.03	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.675 0.014 0.201 0.055 0.055]	[-0.126 -0.036  0.151  0.005  0.005]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.07602865200756616	0.833	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.053 0.655 0.186 0.053 0.053]	[ 0.003 -0.146  0.136  0.003  0.003]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.011632007017613891	0.902	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.061 0.168 0.648 0.062 0.061]	[-0.006  0.149 -0.133 -0.005 -0.006]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.10089758214949733	0.241	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.06  0.029 0.191 0.66  0.06 ]	[ 0.01  -0.021  0.141 -0.139  0.01 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.025376428013896012	0.9	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.054 0.02  0.2   0.054 0.672]	[ 0.004 -0.03   0.15   0.004 -0.128]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.039558438600717775	0.832	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.536 0.009 0.345 0.055 0.055]	[-0.139 -0.005  0.144 -0.    -0.   ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.10721620489204767	0.634	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.055 0.51  0.324 0.056 0.055]	[ 0.002 -0.145  0.138  0.003  0.002]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.021147517743870796	0.703	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.046 0.05  0.794 0.064 0.046]	[ 0.063 -0.082 -0.132  0.088  0.063]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13817716489588633	0.112	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.057 0.029 0.335 0.522 0.057]	[-0.003 -0.     0.144 -0.139 -0.003]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.03958413952110227	0.702	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.065 0.023 0.328 0.065 0.519]	[ 0.011  0.003  0.128  0.011 -0.153]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.048029696240518484	0.636	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.4   0.015 0.489 0.05  0.046]	[-0.138  0.014  0.143 -0.008 -0.012]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1159591734830988	0.439	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.053 0.369 0.467 0.058 0.053]	[-0.002 -0.141  0.142  0.002 -0.002]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.04528342223140112	0.505	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.001 0.201 0.773 0.008 0.017]	[ 0.009  0.144 -0.063 -0.12   0.03 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.11373587261878843	0.241	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.053 0.003 0.491 0.4   0.053]	[-0.004 -0.026  0.156 -0.122 -0.004]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.06686378646295504	0.51	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.06  0.003 0.479 0.066 0.392]	[-0.013  0.016  0.144 -0.008 -0.137]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.07539108516761504	0.441	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	4	[0.311 0.073 0.608 0.    0.008]	[-0.088  0.064  0.145 -0.059 -0.061]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12260957421672823	0.309	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	4	[0.186 0.231 0.514 0.037 0.032]	[ 0.133 -0.138  0.048 -0.021 -0.021]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.08430183245984438	0.385	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	4	[0.143 0.073 0.72  0.02  0.044]	[ 0.142 -0.128 -0.052  0.012  0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13166897341059466	0.131	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	4	[0.164 0.035 0.525 0.244 0.032]	[ 0.115  0.023  0.036 -0.156 -0.018]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.09075236388414444	0.381	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	4	[0.009 0.026 0.604 0.109 0.252]	[-0.051  0.023  0.125  0.043 -0.14 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.09259891834929962	0.287	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	5	[0.172 0.062 0.75  0.004 0.012]	[-0.139 -0.011  0.143  0.002  0.004]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1353117050163589	0.139	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	5	[0.202 0.08  0.643 0.034 0.041]	[ 0.016 -0.151  0.13  -0.003  0.009]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12022140473856015	0.215	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	5	[0.08  0.084 0.718 0.058 0.06 ]	[-0.06   0.131 -0.132  0.041  0.019]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12432492501334565	0.138	0.071
