	Iteration	Ag	Ir	Pd	Pt	Ru	Activity
0	1	0.0	0.04	0.46	0.39	0.11	0.12651499644032008
1	2	0.25	0.24	0.17	0.09	0.25	0.05965585266674948
2	3	0.06	0.2	0.18	0.05	0.51	0.02338403313658511
3	4	0.25	0.0	0.1	0.46	0.19	0.053409096698629505
4	5	0.31	0.48	0.11	0.06	0.04	0.03915264434830606
5	6	0.05	0.03	0.42	0.45	0.05	0.11756189491362809
6	7	0.0	0.04	0.49	0.36	0.11	0.12993731975164724
7	8	0.0	0.05	0.47000000000000003	0.4	0.08	0.12083523476811459
8	9	0.0	0.0	0.5	0.39	0.11	0.12827403509029478
9	10	0.0	0.06	0.53	0.4	0.01	0.09902015664506575
10	11	0.01	0.0	0.47000000000000003	0.3	0.22	0.14217761077521016
11	12	0.07	0.0	0.47000000000000003	0.37	0.09	0.13222405229900663
12	13	0.0	0.0	0.35000000000000003	0.54	0.11	0.11039593243686273
13	14	0.01	0.13	0.25	0.61	0.0	0.08790596600695647
14	15	1.0	0.0	0.0	0.0	0.0	0.008670746861456123
15	16	0.0	0.0	0.73	0.0	0.27	0.14838570414018784
16	17	0.27	0.01	0.67	0.05	0.0	0.14465015294408048
17	18	0.0	0.03	0.9400000000000001	0.03	0.0	0.08203815393790108
18	19	0.0	0.0	0.0	1.0	0.0	0.03824379969709924
19	20	0.0	0.0	0.58	0.17	0.25	0.1546330174407511
20	21	0.07	0.0	0.61	0.02	0.3	0.15044591216840986
21	22	0.0	0.0	0.67	0.11	0.22	0.1531824181675945
22	23	0.42	0.0	0.51	0.07	0.0	0.0974112508430582
23	24	0.0	1.0	0.0	0.0	0.0	5.75136112613373e-08
24	25	0.18	0.0	0.58	0.17	0.07	0.133698785289976
25	26	0.0	0.0	0.62	0.08	0.3	0.15867573693653853
26	27	0.15	0.0	0.71	0.0	0.14	0.13071623467430418
27	28	0.0	0.17	0.66	0.0	0.17	0.1505082385832432
28	29	0.0	0.0	0.62	0.0	0.38	0.15293482452881135
29	30	0.0	0.0	0.61	0.1	0.29	0.1599499628238469
30	31	0.26	0.13	0.61	0.0	0.0	0.14000056011916048
31	32	0.0	0.08	0.61	0.08	0.23	0.15600808790831863
32	33	0.02	0.49	0.49	0.0	0.0	0.0903360273001742
33	34	0.0	0.44	0.0	0.56	0.0	0.1492706317121778
34	35	0.0	0.36	0.64	0.0	0.0	0.11738684238714528
35	36	0.09	0.48	0.0	0.42	0.01	0.08575371534044576
36	37	0.0	0.34	0.0	0.65	0.01	0.13265196103571059
37	38	0.0	0.0	0.55	0.1	0.35	0.1501212447717419
38	39	0.0	0.07	0.67	0.01	0.25	0.15949271885207766
39	40	0.11	0.2	0.6	0.09	0.0	0.13277215452382704
40	41	0.0	0.05	0.65	0.05	0.25	0.15652267806742223
41	42	0.0	0.07	0.65	0.0	0.28	0.16284022814087618
42	43	0.0	0.0	0.63	0.08	0.29	0.15965123684379137
43	44	0.0	0.09	0.65	0.11	0.15	0.14481611423957247
44	45	0.0	0.0	0.63	0.06	0.31	0.15988471179769026
45	46	0.0	0.09	0.62	0.0	0.29	0.1609326389682223
46	47	0.66	0.33	0.0	0.0	0.01	0.025476964353913417
47	48	0.0	0.0	0.0	0.43	0.57	0.018302664954912326
48	49	0.6	0.0	0.0	0.4	0.0	0.013416269452260696
49	50	0.06	0.1	0.66	0.0	0.18	0.1543480029319143
50	51	0.0	0.39	0.26	0.35000000000000003	0.0	0.08720784859472532
51	52	0.08	0.14	0.5700000000000001	0.0	0.21	0.14703115505569586
52	53	0.0	0.08	0.64	0.0	0.28	0.1621758814387651
53	54	0.21	0.29	0.49	0.0	0.01	0.1256879990064289
54	55	0.4	0.0	0.0	0.0	0.6	0.019170235645915672
55	56	0.0	0.67	0.01	0.32	0.0	0.1161165870864462
56	57	0.04	0.0	0.61	0.11	0.24	0.15838739503021515
57	58	0.18	0.15	0.42	0.24	0.01	0.1140555227953049
58	59	0.26	0.01	0.0	0.73	0.0	0.03630426550636104
