	Iteration	Ir	Pd	Pt	Rh	Ru	Activity
0	1	0.16	0.33	0.08	0.08	0.35	0.11516339780205834
1	2	0.43	0.08	0.11	0.15	0.23	0.01969643970806272
2	3	0.47	0.28	0.07	0.16	0.02	0.05221916422727981
3	4	0.05	0.15	0.35	0.39	0.06	0.03822252090719212
4	5	0.02	0.06	0.34	0.51	0.07	0.02115757401470373
5	6	0.12	0.42	0.07	0.06	0.33	0.1407616867250072
6	7	0.12	0.27	0.07	0.07	0.47	0.08454283726628745
7	8	0.18	0.36	0.09	0.08	0.29	0.11782358407845907
8	9	0.11	0.38	0.05	0.06	0.4	0.13102488753317726
9	10	0.08	0.41000000000000003	0.0	0.0	0.51	0.1307270054690408
10	11	0.09	0.65	0.08	0.11	0.07	0.12566722376668954
11	12	0.09	0.46	0.14	0.0	0.31	0.14986676164001284
12	13	0.15	0.46	0.0	0.08	0.31	0.15432286281221558
13	14	0.02	0.45	0.06	0.11	0.36	0.15355364866731225
14	15	0.0	0.0	1.0	0.0	0.0	0.06500834284829783
15	16	0.09	0.5	0.0	0.16	0.25	0.15906294449548003
16	17	0.0	0.52	0.14	0.02	0.32	0.16345773839848393
17	18	0.16	0.53	0.06	0.0	0.25	0.15478339941261576
18	19	0.04	0.49	0.1	0.05	0.32	0.1592146572959501
19	20	0.0	0.55	0.41000000000000003	0.03	0.01	0.08516674165295833
20	21	0.0	0.55	0.06	0.0	0.39	0.16488261605169488
21	22	0.01	0.52	0.01	0.46	0.0	0.06438062421917934
22	23	1.0	0.0	0.0	0.0	0.0	1.3203148889979068e-07
23	24	0.38	0.62	0.0	0.0	0.0	0.09755302349816258
24	25	0.0	0.51	0.13	0.06	0.3	0.16103881226475622
25	26	0.0	0.55	0.1	0.0	0.35	0.16500628703938258
26	27	0.0	0.54	0.0	0.07	0.39	0.15489076485509617
27	28	0.0	0.0	0.0	1.0	0.0	6.253982638286309e-09
28	29	0.0	0.53	0.08	0.01	0.38	0.16138421230942704
29	30	0.08	0.54	0.0	0.06	0.32	0.16573418714592375
30	31	0.08	0.5700000000000001	0.0	0.0	0.35	0.1679816722196415
31	32	0.03	0.55	0.09	0.0	0.33	0.163780607329744
32	33	0.0	0.54	0.11	0.0	0.35	0.16334819194361136
33	34	0.1	0.53	0.0	0.07	0.3	0.16627503712268568
34	35	0.01	0.54	0.09	0.0	0.36	0.16552142420783267
35	36	0.0	1.0	0.0	0.0	0.0	0.030869840774427133
36	37	0.1	0.58	0.0	0.0	0.32	0.16855329202804728
37	38	0.28	0.04	0.68	0.0	0.0	0.12663114873864584
38	39	0.08	0.56	0.0	0.0	0.36	0.1680442365949861
39	40	0.12	0.58	0.0	0.03	0.27	0.16392864422258557
40	41	0.49	0.01	0.5	0.0	0.0	0.14923020717958416
41	42	0.0	0.0	0.59	0.0	0.41	0.05962172948081217
42	43	0.01	0.01	0.72	0.26	0.0	0.06414463963620658
43	44	0.03	0.25	0.72	0.0	0.0	0.05254714411871772
44	45	0.39	0.02	0.02	0.5700000000000001	0.0	0.0038256336174708134
45	46	0.09	0.56	0.0	0.0	0.35	0.1691047870254566
46	47	0.39	0.11	0.5	0.0	0.0	0.0971785836425474
47	48	0.09	0.5700000000000001	0.0	0.0	0.34	0.16910202435566407
48	49	0.68	0.0	0.31	0.0	0.01	0.10061968880947209
49	50	0.4	0.0	0.53	0.07	0.0	0.13288793019305795
50	51	0.24	0.46	0.0	0.3	0.0	0.10098872763953472
51	52	0.0	0.46	0.19	0.2	0.15	0.13884995137986136
52	53	0.0	0.64	0.0	0.0	0.36	0.14781281752069955
53	54	0.07	0.58	0.0	0.0	0.35	0.1684415990066277
54	55	0.0	0.64	0.16	0.0	0.2	0.1435103178695983
55	56	0.1	0.5700000000000001	0.02	0.02	0.29	0.16744002311494646
56	57	0.0	0.47000000000000003	0.21	0.0	0.32	0.15140417108004542
57	58	0.0	0.33	0.0	0.3	0.37	0.10663545133789273
58	59	0.13	0.54	0.0	0.04	0.29	0.16537371944497356
59	60	0.03	0.56	0.04	0.01	0.36	0.1648099759943859
60	61	0.06	0.55	0.04	0.01	0.34	0.16341997167703726
61	62	0.05	0.56	0.0	0.0	0.39	0.16620185770853865
62	63	0.1	0.56	0.0	0.0	0.34	0.16734416651013906
63	64	0.1	0.5700000000000001	0.0	0.04	0.29	0.168478077353295
64	65	0.76	0.0	0.0	0.24	0.0	7.076776093821952e-05
65	66	0.07	0.55	0.01	0.01	0.36	0.16776948763204044
66	67	0.07	0.55	0.01	0.0	0.37	0.16718812000757685
67	68	0.1	0.5700000000000001	0.0	0.0	0.33	0.1679442075379515
68	69	0.05	0.55	0.02	0.02	0.36	0.16796188725476974
69	70	0.07	0.55	0.07	0.0	0.31	0.16565754222034415
70	71	0.36	0.0	0.64	0.0	0.0	0.15745323225071742
71	72	0.5700000000000001	0.0	0.42	0.01	0.0	0.14011229493171234
72	73	0.66	0.34	0.0	0.0	0.0	0.03443532656373946
73	74	0.09	0.56	0.0	0.01	0.34	0.16896211537002676
74	75	0.18	0.01	0.81	0.0	0.0	0.11949082148057338
75	76	0.11	0.59	0.0	0.03	0.27	0.16414201676545975
76	77	0.09	0.62	0.0	0.0	0.29	0.16401601220274442
77	78	0.07	0.52	0.06	0.02	0.33	0.16484507506390356
78	79	0.15	0.53	0.03	0.1	0.19	0.1552338643126298
79	80	0.0	0.51	0.0	0.21	0.28	0.1449700382675833
80	81	0.09	0.53	0.0	0.02	0.36	0.1653684899155249
81	82	0.02	0.2	0.02	0.73	0.03	0.010239110603742413
82	83	0.07	0.55	0.12	0.0	0.26	0.1565540165816899
83	84	0.03	0.55	0.01	0.02	0.39	0.1660996091613013
84	85	0.07	0.54	0.04	0.01	0.34	0.16477304653660232
85	86	0.04	0.03	0.0	0.52	0.41	0.006418738978261635
86	87	0.04	0.56	0.04	0.05	0.31	0.16604783910618925
87	88	0.08	0.59	0.03	0.03	0.27	0.16352814917533634
88	89	0.08	0.54	0.01	0.03	0.34	0.16696241948559518
89	90	0.04	0.52	0.06	0.01	0.37	0.1666369580435138
90	91	0.02	0.61	0.02	0.0	0.35	0.1586716795128818
91	92	0.06	0.54	0.06	0.02	0.32	0.16402829019311999
92	93	0.07	0.59	0.02	0.0	0.32	0.1668986642584329
93	94	0.02	0.6	0.05	0.03	0.3	0.16026970800095247
94	95	0.0	0.5700000000000001	0.09	0.08	0.26	0.16383561551340872
95	96	0.12	0.6	0.01	0.0	0.27	0.1615907458091149
96	97	0.08	0.56	0.03	0.03	0.3	0.16830748127537054
97	98	0.08	0.5700000000000001	0.0	0.04	0.31	0.16796497002265395
98	99	0.08	0.53	0.02	0.05	0.32	0.16524458891885097
99	100	0.06	0.54	0.04	0.09	0.27	0.16160556730024156
100	101	0.13	0.54	0.02	0.04	0.27	0.1642089208352267
101	102	0.04	0.56	0.04	0.07	0.29	0.16355055999320514
102	103	0.01	0.52	0.08	0.11	0.28	0.16223445947569143
103	104	0.06	0.54	0.04	0.03	0.33	0.16482436263597092
104	105	0.02	0.54	0.08	0.0	0.36	0.16626684124033422
