	Iteration	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
0	1	0.45	0.14	0.01	0.07	0.08	0.02	0.09	0.14	-0.6085447339100141
1	2	0.07	0.03	0.13	0.33	0.05	0.02	0.18	0.19	-0.2163524378716699
2	3	0.0	0.22	0.07	0.07	0.06	0.01	0.26	0.31	-0.2726351016255794
3	4	0.12	0.08	0.1	0.18	0.05	0.4	0.01	0.06	-0.18191691250626296
4	5	0.08	0.04	0.03	0.36	0.07	0.04	0.19	0.19	-0.19489399856872267
5	6	0.31	0.05	0.0	0.01	0.04	0.24	0.15	0.2	-0.36460967632306196
6	7	0.1	0.15	0.05	0.13	0.07	0.07	0.11	0.32	-0.3440373960594474
7	8	0.07	0.01	0.15	0.05	0.2	0.19	0.13	0.2	-0.20056628206403496
8	9	0.63	0.2	0.0	0.06	0.1	0.01	0.0	0.0	-0.5646965773922532
9	10	0.43	0.22	0.0	0.02	0.01	0.0	0.09	0.23	-0.7023065905687975
10	11	0.51	0.09	0.0	0.08	0.13	0.0	0.09	0.1	-0.5188342484859958
11	12	0.55	0.16	0.0	0.02	0.08	0.0	0.1	0.09	-0.5967049958314381
12	13	0.51	0.17	0.0	0.04	0.1	0.0	0.0	0.18	-0.6457085301496358
13	14	0.76	0.06	0.0	0.02	0.0	0.0	0.16	0.0	-0.43821090521863204
14	15	0.55	0.19	0.04	0.01	0.11	0.03	0.07	0.0	-0.6057212631085145
15	16	0.55	0.19	0.0	0.17	0.02	0.0	0.07	0.0	-0.609010823184448
16	17	0.43	0.32	0.03	0.0	0.0	0.0	0.0	0.22	-0.7971347209139832
17	18	0.43	0.18	0.0	0.0	0.0	0.0	0.0	0.39	-0.6235644642961276
18	19	0.44	0.32	0.0	0.0	0.05	0.07	0.11	0.01	-0.6176477632840187
19	20	0.46	0.24	0.0	0.04	0.0	0.0	0.05	0.21	-0.7327058270819347
20	21	0.46	0.29	0.21	0.0	0.03	0.0	0.0	0.01	-0.9663870346940662
21	22	0.46	0.24	0.0	0.0	0.0	0.0	0.02	0.28	-0.7102628657573311
22	23	0.45	0.24	0.0	0.03	0.0	0.0	0.04	0.24	-0.7282423113756862
23	24	0.13	0.13	0.0	0.0	0.73	0.0	0.01	0.0	-0.30881839045083126
24	25	0.24	0.19	0.55	0.0	0.01	0.0	0.0	0.01	-0.6984986544559059
25	26	0.14	0.75	0.06	0.03	0.0	0.0	0.01	0.01	-0.30863904070420806
26	27	0.24	0.04	0.0	0.0	0.0	0.0	0.71	0.01	-0.32457427837552766
27	28	0.29	0.39	0.21	0.06	0.03	0.0	0.02	0.0	-0.8581242017316029
28	29	0.51	0.12	0.29	0.01	0.0	0.02	0.05	0.0	-0.850387472982955
29	30	0.0	0.0	0.64	0.0	0.27	0.08	0.01	0.0	-0.16850819861033717
30	31	0.0	0.0	0.04	0.79	0.0	0.17	0.0	0.0	-0.13523402900847126
