Length Scale	MAE	R_square	RMSE
0.1	0.135	-1.69	0.2454
0.12000000000000001	0.1285	-1.116	0.2339
0.14	0.1191	-0.625	0.221
0.16000000000000003	0.1091	-0.238	0.208
0.18000000000000002	0.1004	0.057	0.1945
0.2	0.0911	0.284	0.1805
0.22000000000000003	0.0823	0.455	0.1664
0.24000000000000002	0.0746	0.581	0.1526
0.26	0.0679	0.674	0.1396
0.28	0.0622	0.745	0.1276
0.30000000000000004	0.0565	0.799	0.1168
0.32000000000000006	0.0513	0.838	0.1076
0.3400000000000001	0.0467	0.866	0.0999
0.3600000000000001	0.0429	0.888	0.0931
0.38	0.0393	0.905	0.0869
0.4	0.0362	0.919	0.081
0.42000000000000004	0.0334	0.932	0.0751
0.44000000000000006	0.0307	0.944	0.0691
0.4600000000000001	0.0282	0.954	0.0632
0.4800000000000001	0.0261	0.963	0.0573
0.5000000000000001	0.0242	0.97	0.0518
0.5200000000000001	0.0227	0.976	0.0469
0.54	0.0214	0.98	0.0428
