Upper Bounds	MAE	R_square	length_scale
0.11	0.148	-4.75	0.11
0.13	0.1425	-3.283	0.13
0.15000000000000002	0.1447	-2.704	0.15
0.17	0.1477	-2.448	0.162
0.19	0.1477	-2.448	0.162
0.21000000000000002	0.1477	-2.448	0.162
0.23000000000000004	0.1477	-2.448	0.162
0.25	0.1477	-2.448	0.162
0.27	0.1562	-2.045	0.162
0.29000000000000004	0.152	-1.302	0.29
0.31000000000000005	0.1564	-1.522	0.31
0.33	0.1565	-1.36	0.33
0.35000000000000003	0.1564	-1.216	0.35
0.37000000000000005	0.1526	-1.349	0.37
0.39	0.1522	-1.289	0.39
0.41000000000000003	0.1529	-1.248	0.394
0.43000000000000005	0.154	-1.233	0.394
0.45000000000000007	0.155	-1.245	0.394
0.4700000000000001	0.156	-1.259	0.394
0.49000000000000005	0.1567	-1.268	0.394
0.5100000000000001	0.157	-1.269	0.394
0.5300000000000001	0.1573	-1.27	0.394
0.55	0.1576	-1.271	0.394
0.5700000000000001	0.1578	-1.272	0.394
0.5900000000000001	0.1578	-1.272	0.394
