Length Scale	MAE	R_square	RMSE
0.1	0.1018	-1.25	0.1481
0.12000000000000001	0.0831	-0.181	0.1254
0.14	0.0662	0.382	0.1049
0.16000000000000003	0.0527	0.65	0.0888
0.18000000000000002	0.0441	0.779	0.0771
0.2	0.0403	0.846	0.0683
0.22000000000000003	0.0379	0.886	0.0613
0.24000000000000002	0.0357	0.913	0.0553
0.26	0.0336	0.931	0.0501
0.28	0.0314	0.944	0.0458
0.30000000000000004	0.0295	0.953	0.0425
0.32000000000000006	0.0288	0.957	0.0407
0.3400000000000001	0.0287	0.96	0.0396
0.3600000000000001	0.0283	0.963	0.0381
0.38	0.0273	0.967	0.0358
0.4	0.0256	0.973	0.0326
0.42000000000000004	0.0241	0.978	0.0299
0.44000000000000006	0.0226	0.981	0.0279
0.4600000000000001	0.0213	0.983	0.0265
0.4800000000000001	0.0204	0.984	0.0258
0.5000000000000001	0.0205	0.984	0.0256
0.5200000000000001	0.0212	0.983	0.0261
0.54	0.0218	0.981	0.0272
