	Ag	Ir	Pd	Pt	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	1.1471375512593308e-14
1	0.0	0.0	0.0	0.05	0.95	0.005705276153310593
2	0.0	0.0	0.0	0.1	0.9	0.009514887392841877
3	0.0	0.0	0.0	0.15	0.85	0.01366438207085521
4	0.0	0.0	0.0	0.2	0.8	0.016048154850418064
5	0.0	0.0	0.0	0.25	0.75	0.01819722417314217
6	0.0	0.0	0.0	0.3	0.7	0.021595339174379013
7	0.0	0.0	0.0	0.35	0.65	0.02480802213386722
8	0.0	0.0	0.0	0.4	0.6	0.030333957802338475
9	0.0	0.0	0.0	0.45	0.55	0.03548593488098289
10	0.0	0.0	0.0	0.5	0.5	0.04377220033110702
11	0.0	0.0	0.0	0.55	0.45	0.04891815891575102
12	0.0	0.0	0.0	0.6	0.4	0.055585526420321996
13	0.0	0.0	0.0	0.65	0.35	0.062235426314768416
14	0.0	0.0	0.0	0.7	0.3	0.06657358064451793
15	0.0	0.0	0.0	0.75	0.25	0.06838229430501774
16	0.0	0.0	0.0	0.8	0.2	0.06899934259507086
17	0.0	0.0	0.0	0.85	0.15	0.0652593321698218
18	0.0	0.0	0.0	0.9	0.1	0.05795797169171407
19	0.0	0.0	0.0	0.95	0.05	0.04778086798707408
20	0.0	0.0	0.0	1.0	0.0	0.030565068697819026
21	0.0	0.0	0.05	0.0	0.95	0.01841607606281786
22	0.0	0.0	0.05	0.05	0.9	0.018582686712825112
23	0.0	0.0	0.05	0.1	0.85	0.01954491272499264
24	0.0	0.0	0.05	0.15	0.8	0.019141212858358833
25	0.0	0.0	0.05	0.2	0.75	0.01933792472356885
26	0.0	0.0	0.05	0.25	0.7	0.020095446313834007
27	0.0	0.0	0.05	0.3	0.65	0.022091305506772643
28	0.0	0.0	0.05	0.35	0.6	0.026935251343930905
29	0.0	0.0	0.05	0.4	0.55	0.02934955637303302
30	0.0	0.0	0.05	0.45	0.5	0.03633448731560768
31	0.0	0.0	0.05	0.5	0.45	0.04131583868541165
32	0.0	0.0	0.05	0.55	0.4	0.046545815654445134
33	0.0	0.0	0.05	0.6	0.35	0.05168386846546759
34	0.0	0.0	0.05	0.65	0.3	0.054079505852087525
35	0.0	0.0	0.05	0.7	0.25	0.0561534982473757
36	0.0	0.0	0.05	0.75	0.2	0.05578612808898576
37	0.0	0.0	0.05	0.8	0.15	0.05238592556775259
38	0.0	0.0	0.05	0.85	0.1	0.0434133479221504
39	0.0	0.0	0.05	0.9	0.05	0.03511311930853864
40	0.0	0.0	0.05	0.95	0.0	0.025084488283912056
41	0.0	0.0	0.1	0.0	0.9	0.030039392484593953
42	0.0	0.0	0.1	0.05	0.85	0.028924119969758477
43	0.0	0.0	0.1	0.1	0.8	0.02639514095624132
44	0.0	0.0	0.1	0.15	0.75	0.02434517813156048
45	0.0	0.0	0.1	0.2	0.7	0.02245715168339975
46	0.0	0.0	0.1	0.25	0.65	0.0229751936415884
47	0.0	0.0	0.1	0.3	0.6	0.02547537580794134
48	0.0	0.0	0.1	0.35	0.55	0.0276787478981404
49	0.0	0.0	0.1	0.4	0.5	0.030981949456366335
50	0.0	0.0	0.1	0.45	0.45	0.035330531805546024
51	0.0	0.0	0.1	0.5	0.4	0.041017308556274105
52	0.0	0.0	0.1	0.55	0.35	0.04417157257242627
53	0.0	0.0	0.1	0.6	0.3	0.04611046847855969
54	0.0	0.0	0.1	0.65	0.25	0.046494054978684037
55	0.0	0.0	0.1	0.7	0.2	0.04688487566773127
56	0.0	0.0	0.1	0.75	0.15	0.04222130422765408
57	0.0	0.0	0.1	0.8	0.1	0.03415056066116899
58	0.0	0.0	0.1	0.85	0.05	0.0269373720730694
59	0.0	0.0	0.1	0.9	0.0	0.01837304262944278
60	0.0	0.0	0.15	0.0	0.85	0.03977019051541366
61	0.0	0.0	0.15	0.05	0.8	0.03523990751913559
62	0.0	0.0	0.15	0.1	0.75	0.03205942220908395
63	0.0	0.0	0.15	0.15	0.7	0.027772266773823585
64	0.0	0.0	0.15	0.2	0.65	0.027990628154228953
65	0.0	0.0	0.15	0.25	0.6	0.027599423133293936
66	0.0	0.0	0.15	0.3	0.55	0.028246797628164195
67	0.0	0.0	0.15	0.35	0.5	0.03066086899360416
68	0.0	0.0	0.15	0.4	0.45	0.03309884388248764
69	0.0	0.0	0.15	0.45	0.4	0.03786760677597745
70	0.0	0.0	0.15	0.5	0.35	0.04035495550390334
71	0.0	0.0	0.15	0.55	0.3	0.04150095921008034
72	0.0	0.0	0.15	0.6	0.25	0.041219665600656125
73	0.0	0.0	0.15	0.65	0.2	0.040566837374515226
74	0.0	0.0	0.15	0.7	0.15	0.036893443587979254
75	0.0	0.0	0.15	0.75	0.1	0.030025065180264997
76	0.0	0.0	0.15	0.8	0.05	0.022816866077733478
77	0.0	0.0	0.15	0.85	0.0	0.014734533873174612
78	0.0	0.0	0.2	0.0	0.8	0.049744775023077614
79	0.0	0.0	0.2	0.05	0.75	0.044786540827585444
80	0.0	0.0	0.2	0.1	0.7	0.03977131265198553
81	0.0	0.0	0.2	0.15	0.65	0.03629940629325641
82	0.0	0.0	0.2	0.2	0.6	0.03426337470843731
