	Ag	Ir	Pd	Pt	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	0.008656790820620514
1	0.0	0.0	0.0	0.05	0.95	0.007995739481851616
2	0.0	0.0	0.0	0.1	0.9	0.010766686293923425
3	0.0	0.0	0.0	0.15	0.85	0.01650693365774314
4	0.0	0.0	0.0	0.2	0.8	0.024431001905326627
5	0.0	0.0	0.0	0.25	0.75	0.033560921320634526
6	0.0	0.0	0.0	0.3	0.7	0.04287309419082483
7	0.0	0.0	0.0	0.35	0.65	0.051428993879539586
8	0.0	0.0	0.0	0.4	0.6	0.058468325064345066
9	0.0	0.0	0.0	0.45	0.55	0.06345954959117672
10	0.0	0.0	0.0	0.5	0.5	0.06611659290176303
11	0.0	0.0	0.0	0.55	0.45	0.06639655880157314
12	0.0	0.0	0.0	0.6	0.4	0.06449009258280577
13	0.0	0.0	0.0	0.65	0.35	0.060806885798995236
14	0.0	0.0	0.0	0.7	0.3	0.055949611728857186
15	0.0	0.0	0.0	0.75	0.25	0.05066582527571763
16	0.0	0.0	0.0	0.8	0.2	0.04577148954471144
17	0.0	0.0	0.0	0.85	0.15	0.04205012770117039
18	0.0	0.0	0.0	0.9	0.1	0.04014333444961757
19	0.0	0.0	0.0	0.95	0.05	0.040455963128999586
20	0.0	0.0	0.0	1.0	0.0	0.04309901423133443
21	0.0	0.0	0.05	0.0	0.95	0.012759943738800697
22	0.0	0.0	0.05	0.05	0.9	0.013692910074815129
23	0.0	0.0	0.05	0.1	0.85	0.01751498112310461
24	0.0	0.0	0.05	0.15	0.8	0.023596871333883246
25	0.0	0.0	0.05	0.2	0.75	0.03109200061092522
26	0.0	0.0	0.05	0.25	0.7	0.03907092294938973
27	0.0	0.0	0.05	0.3	0.65	0.04664752398712106
28	0.0	0.0	0.05	0.35	0.6	0.053073182639077794
29	0.0	0.0	0.05	0.4	0.55	0.057790750164219674
30	0.0	0.0	0.05	0.45	0.5	0.060455355999094684
31	0.0	0.0	0.05	0.5	0.45	0.06093719060168552
32	0.0	0.0	0.05	0.55	0.4	0.05931981546138307
33	0.0	0.0	0.05	0.6	0.35	0.05589837148114496
34	0.0	0.0	0.05	0.65	0.3	0.05117104260584945
35	0.0	0.0	0.05	0.7	0.25	0.045810632665969506
36	0.0	0.0	0.05	0.75	0.2	0.04060497483470796
