	Ag	Ir	Pd	Pt	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	-0.04254112864704572
1	0.0	0.0	0.0	0.05	0.95	-0.032186783223541696
2	0.0	0.0	0.0	0.1	0.9	-0.023300526622527268
3	0.0	0.0	0.0	0.15	0.85	-0.016408244075762857
4	0.0	0.0	0.0	0.2	0.8	-0.01177757346133973
5	0.0	0.0	0.0	0.25	0.75	-0.009422352628333186
6	0.0	0.0	0.0	0.3	0.7	-0.009173971069994513
7	0.0	0.0	0.0	0.35	0.65	-0.01078316753152686
8	0.0	0.0	0.0	0.4	0.6	-0.014002629538110226
9	0.0	0.0	0.0	0.45	0.55	-0.018611442374152784
10	0.0	0.0	0.0	0.5	0.5	-0.024373638393736533
11	0.0	0.0	0.0	0.55	0.45	-0.030960319626573377
12	0.0	0.0	0.0	0.6	0.4	-0.037889150705918195
13	0.0	0.0	0.0	0.65	0.35	-0.044532761812145855
14	0.0	0.0	0.0	0.7	0.3	-0.05021782575349381
15	0.0	0.0	0.0	0.75	0.25	-0.054392313360778155
16	0.0	0.0	0.0	0.8	0.2	-0.056800728920929064
17	0.0	0.0	0.0	0.85	0.15	-0.05759475802562612
18	0.0	0.0	0.0	0.9	0.1	-0.05732683229210192
19	0.0	0.0	0.0	0.95	0.05	-0.05681837201700469
20	0.0	0.0	0.0	1.0	0.0	-0.056943244909322344
21	0.0	0.0	0.05	0.0	0.95	-0.031462356468245314
22	0.0	0.0	0.05	0.05	0.9	-0.02140743127161479
23	0.0	0.0	0.05	0.1	0.85	-0.013517102724992805
24	0.0	0.0	0.05	0.15	0.8	-0.008265125087483186
25	0.0	0.0	0.05	0.2	0.75	-0.005798285827517749
26	0.0	0.0	0.05	0.25	0.7	-0.0059652030389128335
27	0.0	0.0	0.05	0.3	0.65	-0.008411758386001902
28	0.0	0.0	0.05	0.35	0.6	-0.012698974686704986
29	0.0	0.0	0.05	0.4	0.55	-0.01839285701235445
30	0.0	0.0	0.05	0.45	0.5	-0.025093421990017337
31	0.0	0.0	0.05	0.5	0.45	-0.03240404566209214
32	0.0	0.0	0.05	0.55	0.4	-0.039875782380192626
33	0.0	0.0	0.05	0.6	0.35	-0.04697721459618688
34	0.0	0.0	0.05	0.65	0.3	-0.053129700227037335
35	0.0	0.0	0.05	0.7	0.25	-0.05781479476926562
36	0.0	0.0	0.05	0.75	0.2	-0.06072085296784484
37	0.0	0.0	0.05	0.8	0.15	-0.06186901415486767
38	0.0	0.0	0.05	0.85	0.1	-0.06165883552945315
39	0.0	0.0	0.05	0.9	0.05	-0.060801905766328275
40	0.0	0.0	0.05	0.95	0.0	-0.06015555952766589
41	0.0	0.0	0.1	0.0	0.9	-0.022381493883231157
42	0.0	0.0	0.1	0.05	0.85	-0.0135002973038338
43	0.0	0.0	0.1	0.1	0.8	-0.007506368510643416
44	0.0	0.0	0.1	0.15	0.75	-0.004754134063888499
45	0.0	0.0	0.1	0.2	0.7	-0.0052027787011049015
46	0.0	0.0	0.1	0.25	0.65	-0.008472370442712693
47	0.0	0.0	0.1	0.3	0.6	-0.01396511236294952
48	0.0	0.0	0.1	0.35	0.55	-0.02100321233208484
49	0.0	0.0	0.1	0.4	0.5	-0.028934649742294996
50	0.0	0.0	0.1	0.45	0.45	-0.03717954461755969
51	0.0	0.0	0.1	0.5	0.4	-0.04522237990058717
52	0.0	0.0	0.1	0.55	0.35	-0.052582856531735084
53	0.0	0.0	0.1	0.6	0.3	-0.0588069855788246
54	0.0	0.0	0.1	0.65	0.25	-0.06350580487260418
55	0.0	0.0	0.1	0.7	0.2	-0.06643908345863289
56	0.0	0.0	0.1	0.75	0.15	-0.06761081052385315
57	0.0	0.0	0.1	0.8	0.1	-0.06732792922977199
58	0.0	0.0	0.1	0.85	0.05	-0.06618213985792726
59	0.0	0.0	0.1	0.9	0.0	-0.0649435694559852
60	0.0	0.0	0.15	0.0	0.85	-0.016698915544076667
61	0.0	0.0	0.15	0.05	0.8	-0.009947245952025965
62	0.0	0.0	0.15	0.1	0.75	-0.006747948116527819
63	0.0	0.0	0.15	0.15	0.7	-0.007255438542335957
64	0.0	0.0	0.15	0.2	0.65	-0.011166136169344157
65	0.0	0.0	0.15	0.25	0.6	-0.01780691387793737
66	0.0	0.0	0.15	0.3	0.55	-0.02628775191612906
67	0.0	0.0	0.15	0.35	0.5	-0.03566792445377413
68	0.0	0.0	0.15	0.4	0.45	-0.04508854932946117
69	0.0	0.0	0.15	0.45	0.4	-0.05384598622212992
70	0.0	0.0	0.15	0.5	0.35	-0.061409391504404484
71	0.0	0.0	0.15	0.55	0.3	-0.06740801368798269
72	0.0	0.0	0.15	0.6	0.25	-0.07161976138957891
73	0.0	0.0	0.15	0.65	0.2	-0.07398083356699729
74	0.0	0.0	0.15	0.7	0.15	-0.0746141095093436
75	0.0	0.0	0.15	0.75	0.1	-0.07385375475567169
76	0.0	0.0	0.15	0.8	0.05	-0.07223611863320889
77	0.0	0.0	0.15	0.85	0.0	-0.07043688077820606
78	0.0	0.0	0.2	0.0	0.8	-0.015801495395306175
79	0.0	0.0	0.2	0.05	0.75	-0.012094879807601322
80	0.0	0.0	0.2	0.1	0.7	-0.012434465853885857
81	0.0	0.0	0.2	0.15	0.65	-0.016686596828729708
82	0.0	0.0	0.2	0.2	0.6	-0.024213416270672833
83	0.0	0.0	0.2	0.25	0.55	-0.03400184445897228
84	0.0	0.0	0.2	0.3	0.5	-0.0448560921748002
85	0.0	0.0	0.2	0.35	0.45	-0.05560077469873381
86	0.0	0.0	0.2	0.4	0.4	-0.0652463439257436
87	0.0	0.0	0.2	0.45	0.35	-0.07308841957583415
88	0.0	0.0	0.2	0.5	0.3	-0.07873808953876081
89	0.0	0.0	0.2	0.55	0.25	-0.08210072931276827
90	0.0	0.0	0.2	0.6	0.2	-0.08332928264779185
91	0.0	0.0	0.2	0.65	0.15	-0.0827732860626195
92	0.0	0.0	0.2	0.7	0.1	-0.0809320940421132
93	0.0	0.0	0.2	0.75	0.05	-0.07840780844509147
94	0.0	0.0	0.2	0.8	0.0	-0.07584760661866831
95	0.0	0.0	0.25	0.0	0.75	-0.020826325767021828
