	Ir	Pd	Pt	Rh	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	3.4343723741129333e-13
1	0.0	0.0	0.0	0.05	0.95	1.0124202952158967e-11
2	0.0	0.0	0.0	0.1	0.9	4.3793098302531205e-10
3	0.0	0.0	0.0	0.15	0.85	2.1651003999706926e-09
4	0.0	0.0	0.0	0.2	0.8	4.850661127634415e-09
5	0.0	0.0	0.0	0.25	0.75	1.1346049236967465e-08
6	0.0	0.0	0.0	0.3	0.7	2.131370852920626e-08
7	0.0	0.0	0.0	0.35	0.65	3.09096771582895e-08
8	0.0	0.0	0.0	0.4	0.6	4.253022979307689e-08
9	0.0	0.0	0.0	0.45	0.55	5.123183625423361e-08
10	0.0	0.0	0.0	0.5	0.5	5.9256811135143195e-08
11	0.0	0.0	0.0	0.55	0.45	6.648333363581466e-08
12	0.0	0.0	0.0	0.6	0.4	6.359186672676441e-08
13	0.0	0.0	0.0	0.65	0.35	5.9552791318468665e-08
14	0.0	0.0	0.0	0.7	0.3	5.069631784728993e-08
15	0.0	0.0	0.0	0.75	0.25	3.888389373190661e-08
16	0.0	0.0	0.0	0.8	0.2	2.954434022422999e-08
17	0.0	0.0	0.0	0.85	0.15	1.869441789632511e-08
18	0.0	0.0	0.0	0.9	0.1	1.197950429112348e-08
19	0.0	0.0	0.0	0.95	0.05	8.258607684048238e-09
20	0.0	0.0	0.0	1.0	0.0	6.253982638286309e-09
21	0.0	0.0	0.05	0.0	0.95	7.597812279417562e-07
22	0.0	0.0	0.05	0.05	0.9	1.241927320322882e-05
23	0.0	0.0	0.05	0.1	0.85	2.6949931644483086e-05
24	0.0	0.0	0.05	0.15	0.8	7.100299658949406e-05
25	0.0	0.0	0.05	0.2	0.75	0.0001994672453486399
26	0.0	0.0	0.05	0.25	0.7	0.00021623667877361717
27	0.0	0.0	0.05	0.3	0.65	0.00023569989902377976
28	0.0	0.0	0.05	0.35	0.6	0.0003550019739928135
29	0.0	0.0	0.05	0.4	0.55	0.0005677271832786978
30	0.0	0.0	0.05	0.45	0.5	0.0006775601704925702
31	0.0	0.0	0.05	0.5	0.45	0.0006841024959763855
32	0.0	0.0	0.05	0.55	0.4	0.0005153548015594039
33	0.0	0.0	0.05	0.6	0.35	0.0004112503467731119
34	0.0	0.0	0.05	0.65	0.3	0.0003372210266346029
35	0.0	0.0	0.05	0.7	0.25	0.0002710990128444373
36	0.0	0.0	0.05	0.75	0.2	0.00021076104039999453
37	0.0	0.0	0.05	0.8	0.15	0.00010651315112028048
38	0.0	0.0	0.05	0.85	0.1	8.05303448226838e-05
39	0.0	0.0	0.05	0.9	0.05	5.4491510221161304e-05
40	0.0	0.0	0.05	0.95	0.0	4.061889188216815e-05
41	0.0	0.0	0.1	0.0	0.9	0.0002210495560209221
42	0.0	0.0	0.1	0.05	0.85	0.00042445145330566184
43	0.0	0.0	0.1	0.1	0.8	0.0005586241029232122
44	0.0	0.0	0.1	0.15	0.75	0.0006381388259236746
45	0.0	0.0	0.1	0.2	0.7	0.0007369963086877459
46	0.0	0.0	0.1	0.25	0.65	0.0008598168793728443
47	0.0	0.0	0.1	0.3	0.6	0.0008819200187200513
48	0.0	0.0	0.1	0.35	0.55	0.00123576333253163
49	0.0	0.0	0.1	0.4	0.5	0.001477223569926106
50	0.0	0.0	0.1	0.45	0.45	0.0015935282709855782
51	0.0	0.0	0.1	0.5	0.4	0.001585767227368551
52	0.0	0.0	0.1	0.55	0.35	0.0011545148157721585
53	0.0	0.0	0.1	0.6	0.3	0.0009959085825393186
54	0.0	0.0	0.1	0.65	0.25	0.0009539784373645202
55	0.0	0.0	0.1	0.7	0.2	0.000693399346104163
56	0.0	0.0	0.1	0.75	0.15	0.0006276889698484992
57	0.0	0.0	0.1	0.8	0.1	0.0006962607463179538
58	0.0	0.0	0.1	0.85	0.05	0.0006301102644900051
59	0.0	0.0	0.1	0.9	0.0	0.000669213155700926
60	0.0	0.0	0.15	0.0	0.85	0.0008943541441381154
61	0.0	0.0	0.15	0.05	0.8	0.0012215217411302068
62	0.0	0.0	0.15	0.1	0.75	0.001541804025298112
63	0.0	0.0	0.15	0.15	0.7	0.0018563877080084844
64	0.0	0.0	0.15	0.2	0.65	0.0019436912488770013
65	0.0	0.0	0.15	0.25	0.6	0.00223091305108055
66	0.0	0.0	0.15	0.3	0.55	0.0027036222717776322
67	0.0	0.0	0.15	0.35	0.5	0.0032047973293558504
