	Ir	Pd	Pt	Rh	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	0.012947787842643624
1	0.0	0.0	0.0	0.05	0.95	0.007729214536402115
2	0.0	0.0	0.0	0.1	0.9	0.004372562823349413
3	0.0	0.0	0.0	0.15	0.85	0.002835537617681849
4	0.0	0.0	0.0	0.2	0.8	0.0029138570005657893
5	0.0	0.0	0.0	0.25	0.75	0.004259006858928827
6	0.0	0.0	0.0	0.3	0.7	0.0064165235277667265
7	0.0	0.0	0.0	0.35	0.65	0.008880940410576965
8	0.0	0.0	0.0	0.4	0.6	0.011160476094147054
9	0.0	0.0	0.0	0.45	0.55	0.012842420708479171
10	0.0	0.0	0.0	0.5	0.5	0.01364948435684353
11	0.0	0.0	0.0	0.55	0.45	0.013478346127029042
12	0.0	0.0	0.0	0.6	0.4	0.012414199757587285
13	0.0	0.0	0.0	0.65	0.35	0.010718819565516707
14	0.0	0.0	0.0	0.7	0.3	0.008793899862237733
15	0.0	0.0	0.0	0.75	0.25	0.007125366347336876
16	0.0	0.0	0.0	0.8	0.2	0.00621728225602855
17	0.0	0.0	0.0	0.85	0.15	0.006525348000564063
18	0.0	0.0	0.0	0.9	0.1	0.008399613629272357
19	0.0	0.0	0.0	0.95	0.05	0.012044037461035509
20	0.0	0.0	0.0	1.0	0.0	0.01749738964777453
21	0.0	0.0	0.05	0.0	0.95	0.00732628620637818
22	0.0	0.0	0.05	0.05	0.9	0.003205908483451314
23	0.0	0.0	0.05	0.1	0.85	0.0010601114011338786
24	0.0	0.0	0.05	0.15	0.8	0.000754184065016289
25	0.0	0.0	0.05	0.2	0.75	0.001986805282208487
26	0.0	0.0	0.05	0.25	0.7	0.004319369510651039
27	0.0	0.0	0.05	0.3	0.65	0.007225723246787913
28	0.0	0.0	0.05	0.35	0.6	0.010156650849008228
29	0.0	0.0	0.05	0.4	0.55	0.012610565783682637
30	0.0	0.0	0.05	0.45	0.5	0.014200237432753171
31	0.0	0.0	0.05	0.5	0.45	0.014705432023153914
32	0.0	0.0	0.05	0.55	0.4	0.014103175402033999
33	0.0	0.0	0.05	0.6	0.35	0.0125707033360552
34	0.0	0.0	0.05	0.65	0.3	0.010460474734064681
35	0.0	0.0	0.05	0.7	0.25	0.008251094378208756
36	0.0	0.0	0.05	0.75	0.2	0.006481787178067383
37	0.0	0.0	0.05	0.8	0.15	0.005680482833538059
38	0.0	0.0	0.05	0.85	0.1	0.0062961912545901055
39	0.0	0.0	0.05	0.9	0.05	0.008645128423478768
40	0.0	0.0	0.05	0.95	0.0	0.012877310112014831
41	0.0	0.0	0.1	0.0	0.9	0.003803534934066932
42	0.0	0.0	0.1	0.05	0.85	0.0009580134629777748
43	0.0	0.0	0.1	0.1	0.8	0.00013614565479283525
44	0.0	0.0	0.1	0.15	0.75	0.0011047636737986088
45	0.0	0.0	0.1	0.2	0.7	0.003466616014835444
46	0.0	0.0	0.1	0.25	0.65	0.006701570132620127
47	0.0	0.0	0.1	0.3	0.6	0.01022702189851861
48	0.0	0.0	0.1	0.35	0.55	0.01347008176777735
49	0.0	0.0	0.1	0.4	0.5	0.01594159579396584
50	0.0	0.0	0.1	0.45	0.45	0.01730109956538113
51	0.0	0.0	0.1	0.5	0.4	0.017402699571794786
52	0.0	0.0	0.1	0.55	0.35	0.016314574389142494
53	0.0	0.0	0.1	0.6	0.3	0.014308859129496573
54	0.0	0.0	0.1	0.65	0.25	0.011823393488412548
55	0.0	0.0	0.1	0.7	0.2	0.009401298333118077
56	0.0	0.0	0.1	0.75	0.15	0.007617757899995817
57	0.0	0.0	0.1	0.8	0.1	0.007005104835806436
58	0.0	0.0	0.1	0.85	0.05	0.007987066309007015
59	0.0	0.0	0.1	0.9	0.0	0.010830964225306272
60	0.0	0.0	0.15	0.0	0.85	0.002552979335764066
61	0.0	0.0	0.15	0.05	0.8	0.00109473842124036
62	0.0	0.0	0.15	0.1	0.75	0.0016392162374247732
63	0.0	0.0	0.15	0.15	0.7	0.0038544378046462824
