	Ir	Pd	Pt	Rh	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	-0.004478080991390826
1	0.0	0.0	0.0	0.05	0.95	-0.0003219943599353514
2	0.0	0.0	0.0	0.1	0.9	0.0022450324926391874
3	0.0	0.0	0.0	0.15	0.85	0.003379024427548588
4	0.0	0.0	0.0	0.2	0.8	0.0033504135288294212
5	0.0	0.0	0.0	0.25	0.75	0.002514159349177092
6	0.0	0.0	0.0	0.3	0.7	0.0012686609572840624
7	0.0	0.0	0.0	0.35	0.65	8.616835295321978e-06
8	0.0	0.0	0.0	0.4	0.6	-0.0009219722813886277
9	0.0	0.0	0.0	0.45	0.55	-0.0012703936448287823
10	0.0	0.0	0.0	0.5	0.5	-0.0009040657767274696
11	0.0	0.0	0.0	0.55	0.45	0.0001759525181484478
12	0.0	0.0	0.0	0.6	0.4	0.001838108949711842
13	0.0	0.0	0.0	0.65	0.35	0.0038391031693373046
14	0.0	0.0	0.0	0.7	0.3	0.005855083168296804
15	0.0	0.0	0.0	0.75	0.25	0.007520666024924516
16	0.0	0.0	0.0	0.8	0.2	0.008470477215128808
17	0.0	0.0	0.0	0.85	0.15	0.008378052970783312
18	0.0	0.0	0.0	0.9	0.1	0.006987812654512704
19	0.0	0.0	0.0	0.95	0.05	0.004137159436414517
20	0.0	0.0	0.0	1.0	0.0	-0.00023266509831640358
21	0.0	0.0	0.05	0.0	0.95	-0.0006158064909887462
22	0.0	0.0	0.05	0.05	0.9	0.002447560844036578
23	0.0	0.0	0.05	0.1	0.85	0.00394722564628211
24	0.0	0.0	0.05	0.15	0.8	0.004120133730051295
25	0.0	0.0	0.05	0.2	0.75	0.0033058993395087
26	0.0	0.0	0.05	0.25	0.7	0.0019084119590525306
27	0.0	0.0	0.05	0.3	0.65	0.00034866284923926183
28	0.0	0.0	0.05	0.35	0.6	-0.0009850873882725486
29	0.0	0.0	0.05	0.4	0.55	-0.001783157684804193
30	0.0	0.0	0.05	0.45	0.5	-0.001850204754972884
31	0.0	0.0	0.05	0.5	0.45	-0.001126285912999292
32	0.0	0.0	0.05	0.55	0.4	0.00030918055320172666
33	0.0	0.0	0.05	0.6	0.35	0.0022504655472584123
34	0.0	0.0	0.05	0.65	0.3	0.004393132100697916
35	0.0	0.0	0.05	0.7	0.25	0.006371885850324055
36	0.0	0.0	0.05	0.75	0.2	0.0078033025785794186
37	0.0	0.0	0.05	0.8	0.15	0.008327880254860726
38	0.0	0.0	0.05	0.85	0.1	0.0076464990869239136
39	0.0	0.0	0.05	0.9	0.05	0.005547628282993933
40	0.0	0.0	0.05	0.95	0.0	0.0019232150833320694
41	0.0	0.0	0.1	0.0	0.9	0.0010863596839487677
42	0.0	0.0	0.1	0.05	0.85	0.0030200251030873815
43	0.0	0.0	0.1	0.1	0.8	0.0034840430566150105
44	0.0	0.0	0.1	0.15	0.75	0.0027885228635703696
45	0.0	0.0	0.1	0.2	0.7	0.001327618824434329
46	0.0	0.0	0.1	0.25	0.65	-0.0004657731857972691
47	0.0	0.0	0.1	0.3	0.6	-0.0021708517716740594
48	0.0	0.0	0.1	0.35	0.55	-0.0034285332661279366
49	0.0	0.0	0.1	0.4	0.5	-0.003983205368296133
50	0.0	0.0	0.1	0.45	0.45	-0.003711109609900648
51	0.0	0.0	0.1	0.5	0.4	-0.0026318663174595414
52	0.0	0.0	0.1	0.55	0.35	-0.0009021653588267842
53	0.0	0.0	0.1	0.6	0.3	0.0012067963177997965
54	0.0	0.0	0.1	0.65	0.25	0.0033443772139022665
55	0.0	0.0	0.1	0.7	0.2	0.005122849377598798
56	0.0	0.0	0.1	0.75	0.15	0.006161294689771835
57	0.0	0.0	0.1	0.8	0.1	0.0061256274449969506
58	0.0	0.0	0.1	0.85	0.05	0.004760416510889459
59	0.0	0.0	0.1	0.9	0.0	0.0019097383451098238
60	0.0	0.0	0.15	0.0	0.85	0.0005846056153623047
61	0.0	0.0	0.15	0.05	0.8	0.0014245859585596266
62	0.0	0.0	0.15	0.1	0.75	0.0009519733236584282
63	0.0	0.0	0.15	0.15	0.7	-0.0004640455298604296
64	0.0	0.0	0.15	0.2	0.65	-0.0023945690283012078
65	0.0	0.0	0.15	0.25	0.6	-0.004400853415356121
66	0.0	0.0	0.15	0.3	0.55	-0.006085896082361222
67	0.0	0.0	0.15	0.35	0.5	-0.007140790856556639
68	0.0	0.0	0.15	0.4	0.45	-0.007379651632080458
69	0.0	0.0	0.15	0.45	0.4	-0.006758627818425636
70	0.0	0.0	0.15	0.5	0.35	-0.005376939434237227
71	0.0	0.0	0.15	0.55	0.3	-0.0034605059538006244
72	0.0	0.0	0.15	0.6	0.25	-0.0013311679650303554
73	0.0	0.0	0.15	0.65	0.2	0.0006336917702494949
74	0.0	0.0	0.15	0.7	0.15	0.002045385086496765
75	0.0	0.0	0.15	0.75	0.1	0.0025462785011261813
76	0.0	0.0	0.15	0.8	0.05	0.0018453906051986435
77	0.0	0.0	0.15	0.85	0.0	-0.00025621100235415084
78	0.0	0.0	0.2	0.0	0.8	-0.002044298081970708
79	0.0	0.0	0.2	0.05	0.75	-0.0021927744163908747
80	0.0	0.0	0.2	0.1	0.7	-0.0034455052826104227
81	0.0	0.0	0.2	0.15	0.65	-0.00539359572949627
82	0.0	0.0	0.2	0.2	0.6	-0.007596628621894613
83	0.0	0.0	0.2	0.25	0.55	-0.009634228841821177
84	0.0	0.0	0.2	0.3	0.5	-0.01115526989186362
85	0.0	0.0	0.2	0.35	0.45	-0.011918067950802011
86	0.0	0.0	0.2	0.4	0.4	-0.011816262395360794
87	0.0	0.0	0.2	0.45	0.35	-0.010887270633268817
88	0.0	0.0	0.2	0.5	0.3	-0.009302827301806621
89	0.0	0.0	0.2	0.55	0.25	-0.007343702477225572
90	0.0	0.0	0.2	0.6	0.2	-0.005362799311196931
91	0.0	0.0	0.2	0.65	0.15	-0.003742135022844012
92	0.0	0.0	0.2	0.7	0.1	-0.002849561267134343
93	0.0	0.0	0.2	0.75	0.05	-0.003000519722022449
94	0.0	0.0	0.2	0.8	0.0	-0.004428855771134194
95	0.0	0.0	0.25	0.0	0.75	-0.0066091118526291626
96	0.0	0.0	0.25	0.05	0.7	-0.007581717001347174
97	0.0	0.0	0.25	0.1	0.65	-0.00941555283061793
98	0.0	0.0	0.25	0.15	0.6	-0.011684997118471346
99	0.0	0.0	0.25	0.2	0.55	-0.013962639761475645
100	0.0	0.0	0.25	0.25	0.5	-0.01586940113369424
101	0.0	0.0	0.25	0.3	0.45	-0.01711835115493414
102	0.0	0.0	0.25	0.35	0.4	-0.01754632909243009
103	0.0	0.0	0.25	0.4	0.35	-0.017129344523850204
104	0.0	0.0	0.25	0.45	0.3	-0.015980227968418276
105	0.0	0.0	0.25	0.5	0.25	-0.014329639239560044
106	0.0	0.0	0.25	0.55	0.2	-0.012493865716770011
107	0.0	0.0	0.25	0.6	0.15	-0.010834470681721733
108	0.0	0.0	0.25	0.65	0.1	-0.00971556122276912
109	0.0	0.0	0.25	0.7	0.05	-0.009464204238515309
110	0.0	0.0	0.25	0.75	0.0	-0.010338474325931254
111	0.0	0.0	0.3	0.0	0.7	-0.012818378166399552
112	0.0	0.0	0.3	0.05	0.65	-0.014406722858229151
113	0.0	0.0	0.3	0.1	0.6	-0.01659835905558009
114	0.0	0.0	0.3	0.15	0.55	-0.018975439912910314
115	0.0	0.0	0.3	0.2	0.5	-0.02114706690326036
116	0.0	0.0	0.3	0.25	0.45	-0.022794881625225055
117	0.0	0.0	0.3	0.3	0.4	-0.023708915850960452
118	0.0	0.0	0.3	0.35	0.35	-0.023808966788616603
119	0.0	0.0	0.3	0.4	0.3	-0.023149022389642795
