	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.3299504795862217
1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.9	-0.3278331971867477
2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.8	-0.3248788108200317
3	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.7	-0.32125738739240534
4	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.6	-0.3175589375346948
5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	-0.3149479418170482
6	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.4	-0.31472152868529546
7	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.3	-0.31729601683904957
8	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.2	-0.32167011830437364
9	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.1	-0.3261156376696372
10	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.3293818373872497
11	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.9	-0.32703133414703306
12	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.8	-0.32239984078865325
13	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.7	-0.3157607616280771
14	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.6	-0.30777943068051533
15	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.5	-0.30055922773051996
16	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.4	-0.2971536333645248
17	0.0	0.0	0.0	0.0	0.0	0.1	0.6	0.3	-0.29958127969334003
18	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.2	-0.3069976029732615
19	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.1	-0.3161703086841428
20	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.0	-0.3238752376424429
21	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.8	-0.3218779610640105
22	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.7	-0.31308623237198707
23	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.6	-0.30099128322815766
24	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.5	-0.2878667817256374
25	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	-0.2784062247925644
26	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.3	-0.2773302624002513
27	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.2	-0.28568182925103236
28	0.0	0.0	0.0	0.0	0.0	0.2	0.7	0.1	-0.29965885748773824
29	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.0	-0.31351624117308474
30	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.7	-0.315017064453512
31	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.6	-0.3016050289341107
32	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.5	-0.2846362334821298
33	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.4	-0.26881023417266536
34	0.0	0.0	0.0	0.0	0.0	0.3	0.4	0.3	-0.26099540001561483
35	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.2	-0.2656079128420562
36	0.0	0.0	0.0	0.0	0.0	0.3	0.6	0.1	-0.2807486295924526
37	0.0	0.0	0.0	0.0	0.0	0.3	0.7	0.0	-0.2995166907051541
38	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.6	-0.3096556964201691
39	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.5	-0.2939123610258445
40	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.4	-0.2759058256195088
41	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.3	-0.2620224879896963
42	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.2	-0.259170657109779
43	0.0	0.0	0.0	0.0	0.0	0.4	0.5	0.1	-0.2693736591997405
44	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.0	-0.2877659182536475
45	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	-0.3105799610462402
46	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.4	-0.29673953454187263
47	0.0	0.0	0.0	0.0	0.0	0.5	0.2	0.3	-0.2822478367299518
48	0.0	0.0	0.0	0.0	0.0	0.5	0.3	0.2	-0.27324281845422627
49	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.1	-0.2747437835899408
50	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	-0.28630616027518735
51	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.4	-0.319730947475427
52	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.3	-0.31073343594867114
53	0.0	0.0	0.0	0.0	0.0	0.6	0.2	0.2	-0.30136720647252685
54	0.0	0.0	0.0	0.0	0.0	0.6	0.3	0.1	-0.296249940816963
55	0.0	0.0	0.0	0.0	0.0	0.6	0.4	0.0	-0.29843541969630705
