	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3977025784002739
1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.3653641101753319
2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.3756631331678619
3	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.7	0.4144389640983351
4	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.4560403345166167
5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.4762035677473567
6	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.4	0.4640692961673818
7	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.4273412606550066
8	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.2	0.38843773943205023
9	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.1	0.37344707308118846
10	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.3990890775127037
11	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.9	0.3625777921378454
12	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.8	0.34580779413521706
13	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.7	0.36579273175041044
14	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.6	0.40218302774633
15	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.5	0.42970747484951094
16	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.4	0.43135917683114716
17	0.0	0.0	0.0	0.0	0.0	0.1	0.6	0.3	0.4067766433057317
18	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.2	0.3719573191594035
19	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.1	0.35107622111133796
20	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.0	0.3644620058984818
21	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.8	0.3684457373837325
22	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.7	0.3611459483420081
23	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.6	0.37838874998874716
24	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.5	0.3997363377689651
25	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.40716079033225155
26	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.3	0.3947570824063925
27	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.2	0.3711955721548234
28	0.0	0.0	0.0	0.0	0.0	0.2	0.7	0.1	0.3546033879612761
