	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.4188492409525414
1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.3822038424711992
2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.3666696347665448
3	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.7	0.3697922795573713
4	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.37987736633653957
5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.3840672670204901
6	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.4	0.37580312145291506
7	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.3570493125747221
8	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.2	0.3367850973115416
9	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.1	0.327951611313581
10	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.3420017395396287
11	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.9	0.37919774924688093
12	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.8	0.34574998207423385
13	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.7	0.3334261053006327
14	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.6	0.3348490972893493
15	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.5	0.33803980800968386
16	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.4	0.33545095360282906
17	0.0	0.0	0.0	0.0	0.0	0.1	0.6	0.3	0.3273589694715281
18	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.2	0.3192350626293245
19	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.1	0.31860290083490533
20	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.0	0.3332035140144039
21	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.8	0.35885322800870134
22	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.7	0.3281263758821303
23	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.6	0.31292783623321285
24	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.5	0.3051274865772537
25	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.2986544188209201
26	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.3	0.2945625175044644
27	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.2	0.29780822298640036
28	0.0	0.0	0.0	0.0	0.0	0.2	0.7	0.1	0.3116965696219042
29	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.0	0.3369180010051352
30	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.7	0.3564057371526149
31	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.6	0.32306865936372775
32	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.5	0.2980472613728604
33	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.4	0.2785678869801714
34	0.0	0.0	0.0	0.0	0.0	0.3	0.4	0.3	0.26798823181542325
35	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.2	0.273523374666371
36	0.0	0.0	0.0	0.0	0.0	0.3	0.6	0.1	0.29834662606711937
37	0.0	0.0	0.0	0.0	0.0	0.3	0.7	0.0	0.3380414309009541
38	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.6	0.3619013222440566
39	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.5	0.32050956482576687
40	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.4	0.28466246138395723
41	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.3	0.26033857816069683
42	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.2	0.2576924722666605
43	0.0	0.0	0.0	0.0	0.0	0.4	0.5	0.1	0.28291963474937915
44	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.0	0.3313397241035458
45	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.3646367911159582
46	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.4	0.3155612714105063
47	0.0	0.0	0.0	0.0	0.0	0.5	0.2	0.3	0.2768976371083454
48	0.0	0.0	0.0	0.0	0.0	0.5	0.3	0.2	0.2608744393330259
49	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.1	0.27700596265757915
50	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.3237586094216342
51	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.4	0.3609905051846025
52	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.3	0.3121924150209598
53	0.0	0.0	0.0	0.0	0.0	0.6	0.2	0.2	0.28379425568727884
54	0.0	0.0	0.0	0.0	0.0	0.6	0.3	0.1	0.28734076435360695
55	0.0	0.0	0.0	0.0	0.0	0.6	0.4	0.0	0.32476964137516023
56	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.3	0.3564940145048562
57	0.0	0.0	0.0	0.0	0.0	0.7	0.1	0.2	0.31946316654047296
58	0.0	0.0	0.0	0.0	0.0	0.7	0.2	0.1	0.3116372220780314
59	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.0	0.33741101367165105
60	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.2	0.361592620908883
61	0.0	0.0	0.0	0.0	0.0	0.8	0.1	0.1	0.3446723602738034
62	0.0	0.0	0.0	0.0	0.0	0.8	0.2	0.0	0.35921157162318007
63	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.1	0.38444828992001145
64	0.0	0.0	0.0	0.0	0.0	0.9	0.1	0.0	0.3883322197050968
65	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.42521416885655056
66	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.9	0.3753250007290264
67	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.8	0.34464985132800086
68	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.7	0.33654927030827125
69	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.6	0.3418421963259178
70	0.0	0.0	0.0	0.0	0.1	0.0	0.4	0.5	0.3465273378711145
71	0.0	0.0	0.0	0.0	0.1	0.0	0.5	0.4	0.3421429192336858
72	0.0	0.0	0.0	0.0	0.1	0.0	0.6	0.3	0.3297566462816009
73	0.0	0.0	0.0	0.0	0.1	0.0	0.7	0.2	0.3167812326225111
74	0.0	0.0	0.0	0.0	0.1	0.0	0.8	0.1	0.31264614452961825
75	0.0	0.0	0.0	0.0	0.1	0.0	0.9	0.0	0.32601130888955665
76	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.8	0.3414735686755377
77	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.7	0.31518324778329837
78	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.6	0.3065163094517988
79	0.0	0.0	0.0	0.0	0.1	0.1	0.3	0.5	0.3036484596997001
80	0.0	0.0	0.0	0.0	0.1	0.1	0.4	0.4	0.2975807565007875
81	0.0	0.0	0.0	0.0	0.1	0.1	0.5	0.3	0.28909992018500047
82	0.0	0.0	0.0	0.0	0.1	0.1	0.6	0.2	0.285403617231605
83	0.0	0.0	0.0	0.0	0.1	0.1	0.7	0.1	0.2928967907644107
84	0.0	0.0	0.0	0.0	0.1	0.1	0.8	0.0	0.3146258289238354
