	Samples	Length Scale	MAE	R_square	RMSE
0	15	0.4	0.0853	0.432	0.109
1	20	0.52	0.0768	0.568	0.0993
2	25	0.46	0.0808	0.534	0.1057
3	30	0.44	0.0664	0.764	0.0868
4	35	0.44	0.0549	0.834	0.0722
5	40	0.4	0.0528	0.842	0.0682
6	45	0.42	0.052	0.848	0.0673
7	50	0.44	0.0528	0.85	0.067
8	55	0.42	0.0465	0.873	0.0587
9	60	0.42	0.0461	0.874	0.0583
10	65	0.36	0.0597	0.732	0.0771
11	70	0.54	0.0461	0.873	0.061
12	75	0.38	0.053	0.79	0.069
13	80	0.38	0.0539	0.781	0.0703
14	85	0.38	0.054	0.777	0.0707
15	90	0.4	0.0491	0.836	0.063
16	95	0.38	0.0551	0.772	0.0715
17	100	0.38	0.0544	0.779	0.0706
