	Samples	Length Scale	MAE	R_square	RMSE
0	24	0.5	0.0471	0.853	0.0622
1	32	0.5	0.0486	0.874	0.0605
2	40	0.38	0.0261	0.938	0.0345
3	48	0.38	0.0229	0.954	0.0298
4	56	0.36	0.0217	0.955	0.0291
5	64	0.38	0.0195	0.967	0.0255
6	72	0.32	0.0262	0.925	0.0367
7	80	0.34	0.0191	0.963	0.0265
8	88	0.34	0.0187	0.964	0.026
9	96	0.32	0.0185	0.964	0.0256
10	104	0.32	0.0189	0.962	0.0264
11	112	0.32	0.0169	0.971	0.0233
12	120	0.32	0.0162	0.972	0.0228
13	128	0.36	0.0107	0.989	0.0145
14	136	0.36	0.0097	0.991	0.0129
15	144	0.36	0.0094	0.992	0.0126
16	152	0.36	0.0083	0.993	0.0113
17	160	0.36	0.0076	0.994	0.0102
